包含以下主要手术或操作：
39.7200x004 颈内动脉栓塞术
39.7200x005 颈动脉栓塞术
39.7200x007 硬脑膜动静脉瘘栓塞术（DAVF）
39.7200x008 椎动静脉瘘栓塞术
39.7200x009 颌动脉栓塞术
39.7200x018 颈动静脉瘘栓塞术
39.7203 经导管颅内动脉瘤栓塞术
39.7205 经导管颅内动脉瘤支架辅助栓塞术
39.7206 经导管颈动脉瘤栓塞术
39.7208 经导管颈动脉瘤支架辅助栓塞术
39.7209 经导管颅内血管栓塞术
39.7211 经导管颈部血管栓塞术
39.7213 经导管椎动脉栓塞术
39.7215 经导管硬脑膜血管栓塞术
39.7216 经导管颈内动脉海绵窦瘘栓塞术
39.7501 经导管颅内血管裸弹簧圈栓塞术
39.7502 经导管入脑前血管裸弹簧圈栓塞术
39.7503 经导管颅内动脉瘤裸弹簧圈栓塞术
39.7504 经导管颈动脉瘤裸弹簧圈栓塞术
39.7505 经导管颈部血管裸弹簧圈栓塞术
39.7506 经导管椎动脉裸弹簧圈栓塞术
39.7601 经导管颅内动脉瘤生物活性弹簧圈栓塞术
39.7603 经导管颈动脉瘤生物活性弹簧圈栓塞术
39.7604 经导管颈部血管生物活性弹簧圈栓塞术
39.7605 经导管椎动脉生物活性弹簧圈栓塞术
39.7606 经导管颅内血管生物活性弹簧圈栓塞术
39.7900x013 锁骨下动脉栓塞术
39.7900x078 动静脉瘘栓塞术
39.7908 经导管硬脊膜血管栓塞术
39.7909 经导管脊髓血管栓塞术
