包含以下主要手术或操作:
00.5501 锁骨下动脉药物洗脱支架置入术
00.6100x008 经皮颈总动脉球囊扩张成形术
00.6100x012 经皮颈静脉球囊扩张成形术
00.6101 经皮颈动脉球囊扩张成形术
00.6102 经皮椎动脉球囊扩张成形术
00.6200x005 经皮大脑中动脉球囊扩张成形术
00.6200x006 经皮大脑前动脉球囊扩张成形术
00.6200x007 经皮大脑后动脉球囊扩张成形术
00.6200x008 经皮椎动脉颅内段球囊扩张成形术
00.6200x009 经皮颈内动脉颅内段球囊扩张成形术
00.6201 经皮基底动脉球囊扩张成形术
00.6202 经皮交通动脉血管球囊扩张成形术
00.6300 颈动脉支架经皮置入术
00.6300x005 经皮颈动脉远端保护装置置入术
00.6300x006 经皮颈动脉覆膜支架置入术
00.6300x007 经皮颈动脉药物洗脱支架置入术
00.6301 脑保护伞下颈动脉支架置入术
00.6400x009 经皮椎动脉支架置入术
00.6400x012 经皮颅外远端保护装置置入术
00.6400x013 经皮椎动脉药物洗脱支架置入术
00.6400x014 经皮椎动脉覆膜支架置入术
00.6401 经皮椎动脉非药物洗脱支架置入术
00.6500x008 经皮颅内动脉支架置入术
00.6500x010 经皮颅内动脉远端保护装置置入术
00.6500x011 经皮颅内静脉窦支架置入术
00.6500x012 经皮大脑前动脉支架置入术
00.6500x013 经皮大脑后动脉支架置入术
00.6500x014 经皮基底动脉支架置入术
00.6501 经皮大脑中动脉支架置入术
17.5300 经皮颅外血管粥样硬化切除术
17.5301 经皮颈动脉粥样斑块切除术
17.5400 颅内血管经皮粥样硬化切除术
39.5000x013 锁骨下静脉球囊扩张成形术
39.7200x001 颈静脉支架置入术
39.7201 头部血管内修补或闭合术
39.7202 颈部血管内修补或闭合术
39.7400x001 经皮颅内静脉取栓术
39.7400x002 经皮颅内动脉取栓术
39.7400x003 经皮颈静脉取栓术
39.7400x004 经皮颈动脉取栓术
39.7401 经导管颅内血管血栓去除术
39.7900x040 经皮锁骨下动脉取栓术
39.7900x515 经皮锁骨下动静脉瘘封堵术
39.9000x034 锁骨下动脉覆膜支架置入术
39.9008 锁骨下动脉支架置入术
