包含以下主要诊断:
B89.x00x002+G73.4* 寄生虫病并发肌病
B99.x00x004+G73.4* 感染性疾病并发肌病
C80.002+G63.1* 恶性肿瘤性周围神经病
D48.900x011+G63.1* 副肿瘤相关性周围神经病
D48.900x012+G73.2* 副肿瘤综合征相关性肌无力综合征
D86.800x002+G53.2* 结节病性多发性脑神经麻痹
E10.400x021+G63.2* 1型糖尿病性多发性神经病
E10.400x022+G63.2* 1型糖尿病性胰岛素相关性神经炎
E10.400x024+G63.2* 1型糖尿病性远端对称性周围神经病
E10.400x025+G63.2* 1型糖尿病性小神经纤维周围神经病
E10.400x026+G63.2* 1型糖尿病性感觉运动性周围神经病
E10.400x110+G59.0* 1型糖尿病性单神经病
E10.400x111+G59.0* 1型糖尿病性胸神经根病
E10.400x112+G59.0* 1型糖尿病性躯干神经根病
E10.400x121+G73.0* 1型糖尿病性肌无力综合征
E10.400x130+G59.0* 1型糖尿病性脑神经麻痹
E10.400x140+G59.0* 1型糖尿病性动眼神经麻痹
E10.400x150+G59.0* 1型糖尿病性外展神经麻痹
E10.400x160+G59.0* 1型糖尿病性股神经病
E10.400x170+G59.0* 1型糖尿病性多发性单神经病
E10.400x180+G59.0* 1型糖尿病性眼肌麻痹
E10.400x190+G59.0* 1型糖尿病性神经根病
E10.400x191+G59.0* 1型糖尿病腰骶神经根神经丛病
E10.400x901+G99.0* 1型糖尿病性脊髓病
E10.401+G63.2* 1型糖尿病性周围神经病
E10.402+G99.0* 1型糖尿病性自主神经病变
E11.400x021+G63.2* 2型糖尿病性多发性神经病
E11.400x022+G63.2* 2型糖尿病性胰岛素相关性神经炎
E11.400x024+G63.2* 2型糖尿病性远端对称性周围神经病
E11.400x025+G63.2* 2型糖尿病性小神经纤维周围神经病
E11.400x026+G63.2* 2型糖尿病性感觉运动性周围神经病
E11.400x110+G59.0* 2型糖尿病性单神经病
E11.400x111+G59.0* 2型糖尿病性胸神经根病
E11.400x112+G59.0* 2型糖尿病性躯干神经根病
E11.400x121+G73.0* 2型糖尿病性肌无力综合征
E11.400x130+G59.0* 2型糖尿病性脑神经麻痹
E11.400x140+G59.0* 2型糖尿病性动眼神经麻痹
E11.400x150+G59.0* 2型糖尿病性外展神经麻痹
E11.400x160+G59.0* 2型糖尿病性股神经病
E11.400x170+G59.0* 2型糖尿病性多发性单神经病
E11.400x180+G59.0* 2型糖尿病性眼肌麻痹
E11.400x190+G59.0* 2型糖尿病性神经根病
E11.400x191+G59.0* 2型糖尿病腰骶神经根神经丛病
E11.400x901+G99.0* 2型糖尿病性脊髓病
E11.401+G63.2* 2型糖尿病性周围神经病
E11.402+G99.0* 2型糖尿病性自主神经病变
E11.405+G73.0* 2型糖尿病性肌萎缩
E13.400x223+G63.2* 继发性糖尿病性周围神经病变
E14.400x021+G63.2* 糖尿病性多发性神经病
E14.400x022+G63.2* 糖尿病性胰岛素相关性神经炎
E14.400x023+G63.2* 糖尿病性周围神经病
E14.400x024+G63.2* 糖尿病性远端对称性周围神经病
E14.400x025+G63.2* 糖尿病性小神经纤维周围神经病
E14.400x026+G63.2* 糖尿病性感觉运动性周围神经病
E14.400x110+G59.0* 糖尿病性单神经病
E14.400x111+G59.0* 糖尿病性胸神经根病
E14.400x112+G59.0* 糖尿病性躯干神经根病
E14.400x121+G73.0* 糖尿病性肌无力综合征
E14.400x130+G59.0* 糖尿病性脑神经麻痹
E14.400x140+G59.0* 糖尿病性动眼神经麻痹
E14.400x150+G59.0* 糖尿病性外展神经麻痹
E14.400x160+G59.0* 糖尿病性股神经病
E14.400x170+G59.0* 糖尿病性多发性单神经病
E14.400x190+G59.0* 糖尿病性神经根病
E14.400x191+G59.0* 糖尿病腰骶神经根神经丛病
E14.400x312+G99.0* 糖尿病性自主神经病
E14.400x901+G99.0* 糖尿病性脊髓病
E85.100x002 淀粉样多发性神经病变
E85.101+G63.3* 淀粉样变性周围神经病
E85.400x008+G99.0* 淀粉样变性性周围神经病
G03.905 原发性肥厚性硬脑膜炎
G04.800x004 抗NMDA受体脑炎
G04.800x012 免疫介导性脑脊髓炎
G04.800x013 免疫介导性脑炎
G04.800x014 免疫介导性脊髓炎
G04.800x015 免疫介导性脊髓神经根神经病
G04.800x016 免疫介导性脑干脑炎
G04.801 自体免疫性脑炎
G04.915 脑炎性假瘤
G35.x00 多发性硬化
G35.x00x002 脑干多发性硬化
G35.x00x003 脊髓多发性硬化
G35.x01 多发性硬化,复发缓解型
G35.x02 多发性硬化,原发进展型
G35.x03 多发性硬化,继发进展型
G35.x04 多发性硬化,进展复发型
G35.x05 多发性硬化,同心圆型
G35.x06+F02.8* 多发性硬化性痴呆
G36.000 视神经脊髓炎[德维克]
G36.000x002 视神经脊髓炎谱系疾病
G36.100 急性和亚急性出血性白质脑炎[赫斯特]
G36.101 急性出血性白质脑炎
G36.800 急性播散性脱髓鞘,其他特指的
G36.900 急性播散性脱髓鞘
G36.901 急性脱髓鞘性脊髓病
G37.000 弥漫性硬化
G37.000x002 轴周性脑炎
G37.100 胼胝体中枢性脱髓鞘
G37.100x002 原发性胼胝体变性
