包含以下主要诊断：
D00.000x005 唇红缘原位癌
D00.000x007 鼻咽原位癌
D00.000x008 腮腺原位癌
D00.001 扁桃体原位癌
D00.002 唇原位癌
D00.003 口腔原位癌
D00.004 舌原位癌
D00.005 杓状会厌褶原位癌
D00.006 口底原位癌
D00.007 咽原位癌
D00.008 下咽原位癌
D00.009 舌下腺原位癌
D00.010 颌下腺原位癌
D00.011 颊黏膜原位癌
D00.012 臼齿后区原位癌
D00.013 硬腭原位癌
D02.000 喉原位癌
D02.000x003 喉面杓状会厌褶原位癌
D02.000x004 会厌舌骨上原位癌
D02.001 会厌原位癌
D02.002 声带原位癌
D02.300 呼吸系统其他部位的原位癌
D02.301 鼻腔原位癌
D02.302 鼻旁窦原位癌
D02.303 中耳原位癌
D03.000 唇原位黑色素瘤
D03.200x002 耳原位黑色素瘤
D03.201 外耳道原位黑色素瘤
D03.301 面部原位黑色素瘤
D03.400x002 头皮原位黑色素瘤
D03.401 颈部原位黑色素瘤
D04.000 唇皮肤原位癌
D04.200x001 耳皮肤原位癌
D04.201 外耳道皮肤原位癌
D04.300x001 鼻沟皮肤原位癌
D04.300x002 面皮肤原位癌
D04.400x001 头皮原位癌
D04.401 颈部皮肤原位癌
D09.701 颊原位癌
D10.300x005 悬雍垂良性肿瘤
D10.300x007 颌下良性肿瘤
D10.301 口腔黏膜黑色素痣
D10.302 颊黏膜良性肿瘤
D10.303 腭良性肿瘤
D10.305 牙槽良性肿瘤
D10.306 齿龈良性肿瘤
D10.307 磨牙后区良性肿瘤
D10.308 小涎腺良性肿瘤
D10.309 口良性肿瘤
D10.400 扁桃体良性肿瘤
D10.401 咽门扁桃体良性肿瘤
D10.402 腭扁桃体良性肿瘤
D10.500x001 口咽良性肿瘤
D10.500x002 会厌前面良性肿瘤
D10.501 扁桃体窝良性肿瘤
D10.502 扁桃体柱良性肿瘤
D10.503 会咽谷良性肿瘤
D10.504 鳃裂良性肿瘤
D10.600 鼻咽良性肿瘤
D10.601 鼻中隔后缘良性肿瘤
D10.602 鼻后孔良性肿瘤
D10.603 咽扁桃体良性肿瘤
D10.700 咽下部良性肿瘤
D10.701 咽下梨状窝良性肿瘤
D10.900 咽良性肿瘤
D11.000 腮腺良性肿瘤
D11.701 下颌下腺良性肿瘤
D11.702 舌下腺良性肿瘤
D11.900 大涎腺良性肿瘤
D11.900x001 唾液腺良性肿瘤
D14.000x005 额窦良性肿瘤
D14.000x006 筛窦良性肿瘤
D14.000x007 上颌窦良性肿瘤
