包含以下主要手术或操作：
27.5301 腭瘘管修补术
27.5302 唇瘘修补术
27.5303 颊部瘘修补术
27.5400 裂唇修补术
27.5401 唇裂二期修复术
27.5700x006 口腔游离皮瓣移植术
27.5900x011 口形矫正术
27.5900x017 唇黏膜瓣移植术
27.5900x018 口腔黏膜瓣移植术
27.5900x019 口腔黏膜游离移植术
27.5900x020 颊肌黏膜瓣移植术
27.5901 口角缝合术
27.5902 交叉唇瓣断蒂术
27.5903 唇成形术
27.5904 口轮匝肌功能重建术
27.5905 口鼻通道成形术
27.5907 小口开大术
27.5908 口内重建术
27.5909 唇瘢痕松解术
27.5910 口成形术
27.5911 下唇缺损修复术
27.5913 唇外翻矫正术
27.5914 巨口矫形术
27.5915 唇缺损修复术
27.6100 腭裂伤缝合术
27.6200x002 后推法腭裂矫正术
27.6200x003 腭裂修补术
27.6201 腭裂修补术伴悬雍垂修补术
27.6300x002 腭裂术后继发畸形矫正术
27.6301 腭裂二期修复术
27.6302 腭裂上提术
27.6400 腭植入物置入术
