包含以下主要手术或操作：
19.0x00x002 镫骨板钻孔术
19.0x00x003 镫骨松动术
19.0x01 镫骨脚切开术
19.0x02 耳硬化分离术
19.0x03 镫骨再撼动术
19.1100 镫骨切除术伴砧骨置换
19.1900x002 镫骨部分切除伴脂肪移植术
19.1900x003 镫骨切除术
19.1900x004 人工镫骨置入术
19.1900x005 人工镫骨置换术
19.1900x006 镫骨足板开窗术
19.1900x007 内镜下镫骨切除术
19.1900x008 内镜下镫骨足板开窗术
19.1901 镫骨部分切除术
19.1902 人工镫骨取出术
19.2100 镫骨切除术伴砧骨置换的修复术
19.2900x001 镫骨切除术的修正术
19.2901 镫骨粘连松解术
19.2902 镫骨重建术
19.3x00x001 听骨链撼动术
19.3x00x002 内镜下人工听骨链重建术
19.3x02 砧镫关节复位术
19.3x03 听骨链重建术
19.3x04 异体听骨植入术
19.4x00x005 内镜下鼓室成形术
19.5200 鼓室成形术，II型
19.5300 鼓室成形术，III型
19.5400 鼓室成形术，IV型
19.5500 鼓室成形术，V型
19.6x00x001 鼓室成形修正术
19.9x02 中耳成形术
20.4100 单纯乳突切除术
20.4200x002 乳突扩大根治术
20.4900x004 乳突切除术
20.4900x008 开放式乳突改良根治术
20.4900x009 完壁式乳突改良根治术
20.4901 乳突改良根治术
