包含以下主要手术或操作：
93.1100 辅助运动训练
93.1101 悬吊治疗
93.1102 电动起立床训练
93.1103 减重支持系统训练
93.1200x001 肌肉骨骼运动训练
93.1300x001 对抗阻力辅助运动训练
93.1301 等速肌力训练
93.1400 关节运动训练
93.1500 脊柱松动法
93.1600x001 关节松动法
93.1700x001 被动性肌肉骨骼运动训练
93.1800 呼吸训练
93.1900 训练
93.1900x001 运动训练
93.2200 行走和步态训练
93.2300 矫形装置安装
93.2400x002 假肢功能训练
93.2400x003 矫形器功能训练
93.2401 用拐行走训练
93.2500 肢体强迫伸展
93.2700x001 肌腱伸展训练
93.2800 筋膜伸展
93.2900x001 畸形强制性矫正训练
93.2901 畸形足手法矫正
93.3100 水池中辅助训练
93.3600 心脏再训练
93.3700 产前训练
93.3801 脑瘫肢体综合训练
93.3802 偏瘫肢体综合训练
93.3803 平衡功能训练
93.3804 截瘫肢体综合训练
93.7100 诵读训练
93.7200 语言障碍训练
93.7300 食管说话训练
93.7400 语言缺损训练
93.7500x001 语言治疗
93.7600 训练盲人使用导盲犬
93.7701 盲文阅读训练
93.7800 盲人的其他康复疗法
93.8300x002 日常生活动作训练
93.8500 职业康复
