包含以下主要手术或操作：
00.0102 颈部血管治疗性超声
00.0300 周围血管治疗性超声
00.5500x009 经皮周围动脉药物洗脱支架置入术
00.5500x010 经皮周围静脉药物洗脱支架置入术
00.5500x011 经皮尺动脉药物洗脱支架置入术
00.5500x013 经皮肱动脉药物洗脱支架置入术
00.5500x014 经皮桡动脉药物洗脱支架置入术
00.5500x015 经皮上肢静脉药物洗脱支架置入术
00.5500x016 经皮头臂静脉药物洗脱支架置入术
00.5500x017 经皮外周动脉可降解支架置入术
00.5501 锁骨下动脉药物洗脱支架置入术
00.6101 经皮颈动脉球囊扩张成形术
07.4200x002 经皮肾动脉去交感神经射频消融术
38.7x03 上腔静脉滤器置入术
38.7x04 下腔静脉滤器置入术
39.4900x011 封堵器取出术
39.4901 上腔静脉滤器取出术
39.4902 下腔静脉滤器取出术
39.5000x011 下腔静脉球囊扩张成形术
39.5000x013 锁骨下静脉球囊扩张成形术
39.5000x019 头臂静脉球囊扩张成形术
39.5000x021 上腔静脉球囊扩张成形术
39.5000x024 肝动脉球囊扩张成形术
39.5000x025 上肢静脉球囊扩张成形术
39.5000x026 下肢静脉球囊扩张成形术
39.5000x029 髂总动脉球囊扩张成形术
39.5000x030 髂外动脉球囊扩张成形术
39.5000x034 经皮腹腔干动脉球囊扩张成形术
39.5000x035 经皮腹腔动脉球囊扩张成形术
39.5000x036 经皮胃左动脉球囊扩张成形术
39.5000x037 经皮肠系膜动脉球囊扩张成形术
39.5000x038 经皮肩峰动脉球囊扩张成形术
39.5000x039 经皮乳内动脉球囊扩张成形术
39.5001 锁骨下动脉球囊血管成形术
39.5002 肾动脉球囊血管成形术
39.5005 髂动脉球囊血管成形术
39.5006 肝静脉球囊血管成形术
39.5007 髂静脉球囊血管成形术
39.5008 无名动脉球囊血管成形术
39.5013 桡动脉球囊血管成形术
39.5014 腋动脉球囊血管成形术
39.5016 肱动脉球囊血管成形术
39.5017 门静脉球囊扩张成形术
39.5900x025 烟囱技术肠系膜上动脉重建术
39.5900x027 烟囱技术肾动脉重建术
39.5900x028 烟囱技术颈总动脉重建术
39.5900x029 烟囱技术锁骨下动脉重建术
39.7200x017 经皮头面部动静脉瘘栓塞术
39.7800x005 经皮乳内动脉封堵术
39.7900x009 甲状腺动脉栓塞术
39.7900x013 锁骨下动脉栓塞术
39.7900x014 体-肺动脉侧支封堵术
39.7900x017 结肠动脉栓塞术
39.7900x019 髂动脉栓塞术
39.7900x020 肾动脉栓塞术
39.7900x021 腰动脉栓塞术
39.7900x022 精索静脉栓塞术
39.7900x023 卵巢静脉栓塞术
39.7900x024 盆腔静脉栓塞术
39.7900x027 臀下动脉栓塞术
39.7900x028 经皮肠系膜上动脉取栓术
39.7900x029 经皮肠系膜上静脉取栓术
