包含以下主要手术或操作：
00.2101 颈动脉血管内超声(IVUS)
00.2102 颅外脑血管血管内超声(IVUS)
00.2201 胸内血管血管内超声(IVUS)
00.2202 胸主动脉血管内超声(IVUS)
00.2300x002 周围血管血管内超声(IVUS)
00.2300x003 上肢血管血管内超声(IVUS)
00.2300x004 下肢血管血管内超声(IVUS)
00.2500x002 肾血管血管内超声(IVUS)
38.2300 血管内光谱分析
38.2500 经光学相干断层扫描的非冠状血管血管内影像[OCT]
87.0800x002 颈淋巴管造影
88.4201 主动脉弓造影
88.4202 胸主动脉造影
88.4203 升主动脉造影
88.4204 腹主动脉造影
88.4205 降主动脉造影
88.4300 肺动脉造影术
88.4300x002 体-肺侧支造影[MAPCAS]
88.4400x001 乳内动脉造影
88.4401 锁骨下动脉造影
88.4402 无名动脉造影
88.4403 支气管动脉造影
88.4404 膈动脉造影
88.4405 肋间动脉造影
88.4500 肾动脉造影术
88.4600 胎盘动脉造影术
88.4700x001 肾上腺动脉造影
88.4700x002 腹腔干动脉造影
88.4701 肝动脉造影
88.4702 脾动脉造影
88.4703 胃动脉造影
88.4704 胰腺动脉造影
88.4705 肠系膜上动脉造影
88.4706 肠系膜下动脉造影
88.4707 腹腔动脉造影
88.4800x005 下肢动脉造影
88.4800x006 腘动脉造影
88.4801 股动脉造影
88.4900x005 全身动脉造影
88.4900x006 肩峰动脉造影
88.4900x007 阴茎动脉造影
88.4901 上肢动脉造影
88.4902 盆腔动脉造影
88.4903 子宫动脉造影
88.4904 髂动脉造影
88.5101 上腔静脉造影
88.5102 下腔静脉造影
88.6000 用对比剂静脉造影术，未特指的部位
88.6200x001 肺静脉造影
88.6400x001 肝门静脉造影
88.6400x002 门静脉造影
88.6400x003 脾门静脉造影
88.6401 肝静脉造影
88.6500x002 腹内静脉造影
88.6500x005 髂外静脉造影
88.6500x006 肾上腺静脉造影
88.6501 肠系膜静脉造影
88.6502 肾静脉造影
88.6503 卵巢静脉造影
88.6600x002 下肢静脉造影
88.6601 股静脉造影
88.6700x001 垂直静脉造影
88.6701 脊髓静脉造影
88.6702 上肢静脉造影
88.6703 髂静脉造影
88.6800 阻抗静脉造影术
