入组条件：手术或操作 1 + 手术或操作 2（至少有一个是主要手术或操作）
手术或操作 1：
17.3100 腹腔镜多段大肠切除术
17.3101 腹腔镜直肠乙状结肠部分切除术
17.3200 腹腔镜盲肠切除术
17.3200x001 腹腔镜下盲肠部分切除术
17.3200x002 腹腔镜下回盲部切除术
17.3300 腹腔镜右半结肠切除术
17.3300x002 腹腔镜下升结肠部分切除术
17.3400 腹腔镜横结肠切除术
17.3401 腹腔镜横结肠部分切除术
17.3500 腹腔镜左半结肠切除术
17.3500x001 腹腔镜下降结肠部分切除术
17.3600 腹腔镜乙状结肠切除术
17.3600x001 腹腔镜下乙状结肠部分切除术
17.3900x002 腹腔镜下结肠部分切除术
17.3900x003 腹腔镜下小肠-结肠切除术
17.3900x004 腹腔镜经肛门巨结肠根治术（改良Soave法）
17.3901 腹腔镜巨结肠切除术
42.4100 部分食管切除术
43.4201 贲门病损切除术
43.4202 胃病损切除术
43.4203 腹腔镜下胃病损切除术
43.4900 胃病损或组织的其他破坏术
43.5x00x003 贲门部分切除伴食管-胃吻合术
43.5x02 贲门切除伴食管胃弓下吻合术
43.6x00x005 胃幽门切除术伴胃-十二指肠吻合术
43.6x00x006 胃远端切除术伴胃-十二指肠吻合术
43.6x01 胃大部切除伴胃十二指肠吻合术
43.6x02 腹腔镜胃大部切除伴胃十二指肠吻合术
43.7x00x001 胃大切除伴胃-空肠吻合术[BillrothII式手术]
43.7x00x002 腹腔镜下残胃部分切除伴胃空肠吻合术
43.7x01 残胃部分切除伴胃空肠吻合术
43.7x03 腹腔镜胃大部切除伴胃空肠吻合术
43.8100 胃部分切除术伴空肠移位术
43.8201 腹腔镜胃部分切除术
43.8202 腹腔镜胃楔形切除术
43.8901 胃部分切除术
43.9101 全胃切除伴空肠间置术
43.9102 腹腔镜辅助全胃切除伴空肠间置术
43.9900x002 残胃切除术
43.9900x003 腹腔镜下胃切除术
43.9900x004 根治性胃切除术
43.9906 全胃切除，不伴吻合术
45.3101 十二指肠病损切除术
45.3200x001 十二指肠病损破坏术
45.3300x006 空肠病损切除术
45.3300x009 回肠病损切除术
45.3301 小肠病损切除术
45.3302 小肠憩室切除术
45.3303 腹腔镜小肠病损切除术
45.4100x001 大肠病损切除术
45.4100x002 腹腔镜下结肠病损切除术
45.4100x003 腹腔镜下乙状结肠病损切除术
45.4100x004 腹腔镜下回盲部病损切除术
45.4101 结肠病损切除术
45.4102 横结肠病损切除术
45.4103 降结肠病损切除术
45.4104 乙状结肠病损切除术
45.4105 盲肠病损切除术
45.4107 升结肠病损切除术
45.4900x001 大肠病损破坏术
45.4900x003 结肠病损高频电凝术
45.4900x005 结肠病损激光烧灼术
45.6100 小肠多节段部分切除术
45.6100x001 腹腔镜下小肠多节段部分切除术
45.6200x001 腹腔镜下回肠部分切除术
45.6200x002 腹腔镜下空肠部分切除术
45.6200x003 腹腔镜下回肠全部切除术
45.6200x004 腹腔镜下空肠全部切除术
45.6200x005 腹腔镜下十二指肠部分切除术
45.6200x006 腹腔镜下十二指肠全部切除术
45.6201 小肠部分切除术
45.6202 十二指肠部分切除术
45.6203 十二指肠切除木
45.6204 空肠部分切除术
45.6205 空肠切除术
45.6206 回肠部分切除术
45.6207 回肠切除术
45.6208 腹腔镜下小肠部分切除术
45.6300 小肠全部切除术
45.6300x001 腹腔镜下小肠全部切除术
45.7100x001 大肠多节段切除术
45.7200x002 回盲部切除术
45.7200x004 盲肠部分切除术
45.7201 回盲部分切除术
45.7202 盲肠切除术
45.7300x003 升结肠部分切除术
45.7300x006 右半结肠姑息性切除术
45.7300x007 右半结肠切除术
45.7301 回肠结肠切除术
45.7302 右半结肠根治性切除术
45.7304 升结肠切除术
45.7400x003 横结肠切除术
45.7401 横结肠部分切除术
45.7500 左半结肠切除术
45.7500x001 降结肠部分切除术
45.7501 左半结肠根治性切除术
45.7600x008 乙状结肠切除术
45.7601 乙状结肠部分切除术
45.7900x001 结肠次全切除术
45.7900x002 巨结肠切除术
45.7900x003 经肛门巨结肠根治术（改良Soave法）
45.7901 结肠部分切除术
45.7902 小肠结肠部分切除术
45.8100 腹腔镜腹内全结肠切除术
45.8100x001 腹腔镜下结肠次全切除术
45.8200 开放性腹内全结肠切除术
45.8300 其他和未特指的腹内全结肠切除术
48.3200x003 直肠病损电凝术
48.3201 直肠病损电切术
48.3401 直肠病损冷冻术
48.3501 直肠病损切除术
48.3502 经肛门直肠病损切除术
48.3503 经骶尾直肠病损切除术
48.3504 经阴道直肠病损切除术
48.3505 直肠后壁病损切除术
48.3506 Kraske术
48.3507 腹腔镜直肠病损切除术
48.4900x002 直肠切除术[Swenson手术]
48.4900x003 直肠-腹-会阴拖出切除术
48.4902 经前会阴超低位直肠切除术
48.4903 腹腔镜辅助经前会阴超低位直肠切除术
48.5000 腹会阴直肠切除术
48.5100 腹腔镜下腹会阴直肠切除术
48.5100x002 腹腔镜下经肛提肌外腹会阴直肠联合切除术[LELAPE手术]
48.5201 肛提肌外腹会阴直肠联合切除术
48.5900x001 直肠全部切除术
48.6100 经骶直肠乙状结肠切除术
48.6100x001 腹腔镜下经腹直肠乙状结肠切除术
48.6100x002 腹腔镜下经骶直肠乙状结肠切除术
48.6200 直肠前切除术同时伴结肠造口术
48.6201 腹腔镜下直肠前切除伴结肠造口术
48.6300x001 腹腔镜下经括约肌间直肠前切除术（ISR）
48.6300x002 腹腔镜下经自然腔道直肠前切除术（NOSES）
48.6300x003 腹腔镜下超低位直肠前切除术
48.6300x004 低位直肠前切除术
48.6300x005 超低位直肠前切除术
48.6301 直肠前切除术
