同时包含以下手术或操作：
77.0500 股骨死骨去除术
77.0701 胫骨死骨去除术
77.0702 腓骨死骨去除术
77.0800x001 跟骨死骨切除术
77.0800x002 距骨死骨切除术
77.0801 跗骨死骨去除术
77.0802 跖骨死骨去除术
77.0900x004 足骨死骨去除术
77.0900x005 坐骨死骨切除术
77.0901 骨盆死骨去除术
77.0903 趾骨死骨去除术
77.1500x001 股骨颈开窗引流术
77.1500x002 股骨开窗引流术
77.1500x003 股骨头开窗引流术
77.1500x005 股骨髁开窗引流术
77.1500x006 股骨钻孔减压术
77.1501 股骨切开引流术
77.1502 股骨减压术
77.1700x001 胫骨开窗引流术
77.1700x002 胫骨切开异物去除术
77.1700x003 腓骨开窗引流术
77.1701 胫骨切开引流术
77.1702 胫骨减压术
77.1703 腓骨切开引流术
77.1800x001 距骨减压术
77.1801 跗骨切开引流术
77.1802 跗骨减压术
77.1803 跖骨切开引流术
77.1900x001 胫腓骨骺开放术
77.1901 骨盆切开引流术
77.1903 趾骨切开引流术
77.2500x001 股骨截骨术
77.2500x002 股骨上端截骨术
77.2500x003 股骨粗隆间截骨术
77.2500x004 股骨粗隆下截骨术
77.2500x005 股骨麦氏截骨术
77.2500x006 股骨髁上截骨术
77.2500x007 股骨下端截骨术
77.2500x008 股骨粗隆部旋转截骨术
77.2500x009 股骨粗隆下内收截骨术
77.2600 髌骨楔形骨切开术
77.2700x001 腓骨截骨术
77.2700x003 胫骨截骨术
77.2701 胫骨楔形截骨术
77.2702 胫骨上端高位截骨术
77.2703 腓骨楔形截骨术
77.2800x001 跗骨截骨术
77.2800x003 舟骨截骨术
77.2800x004 骰骨截骨术
77.2800x005 距骨截骨术
77.2801 跗骨楔形切骨术
77.2900x001 骨盆截骨术
77.2900x005 趾骨截骨术
77.2900x007 髋脱位髋骨截骨术
77.2900x008 髂骨截骨术
77.2901 骨盆楔形截骨术
77.2903 趾骨楔形截骨术
77.3500 股骨切断术
77.3600 髌骨切断术
77.3701 胫骨切断术
77.3702 腓骨切断术
77.3801 跗骨切断术
77.3802 跖骨切断术
77.3901 骨盆切开术
77.3902 髂骨切开术
77.3903 耻骨切开术
77.3904 坐骨耻骨切开术
77.3905 耻骨联合切开术
77.3907 趾骨切断术
77.5100 囊肿切除术伴软组织矫正术和第一跖骨切开术
77.5301 McBride手术
77.5400x001 小趾囊肿切除矫正术
77.5600x002 锤状趾矫正术
77.5700x001 爪形趾矫正术
77.5800x007 巨趾矫正术
77.5800x008 裂趾成形术
77.5801 翘趾修补术
77.5802 叠交趾修补术
77.5900x002 凯勒手术（Keller术）
77.6501 股骨病损切除术
77.6701 胫骨病损切除术
77.6702 腓骨病损切除术
77.6801 跗骨病损切除术
77.6802 跖骨病损切除术
77.6900x001 耻骨病损切除术
77.6900x004 骶骨病损切除术
77.6900x007 跟骨病损切除术
77.6900x020 距骨病损切除术
77.6900x025 髂骨病损切除术
77.6900x047 足骨病损切除术
77.6900x057 髋臼病损切除术
77.6900x058 坐骨病损切除术
77.6901 骨盆病损切除术
77.6903 趾骨病损切除术
77.7500 股骨切除术用作移植物
77.7600 髌骨切除术用作移植物
77.7701 胫骨切除术用作移植物
77.7702 腓骨切除术用作移植物
77.7800 跗骨和跖骨切除术用作移植物
77.7900x001 跟骨取骨术
77.7900x006 趾骨取骨术
77.7901 髂骨切除术用作移植物
77.8500 股骨部分骨切除术
77.8501 股骨头颈切除术
77.8502 髋臼部分切除术
77.8700x003 腓骨小头切除术
77.8700x004 关节镜下胫骨部分切除术
77.8701 胫骨部分切除术
77.8702 腓骨部分切除术
77.8801 跗骨部分切除术
77.8802 跖骨部分切除术
77.8900x002 耻骨部分切除术
77.8900x004 骨盆部分切除术
77.8900x005 髋臼周围截骨术
77.8900x017 髂骨部分切除术
77.8900x026 足骨部分切除术
