包含以下主要诊断:
D48.900x013+M63.8* 肿瘤相关性肌炎
D48.904+M36.0* 肿瘤相关性皮肌炎
D86.803+M63.3* 结节病性肌炎
E85.000 非神经病性家族遗传性淀粉样变
E85.001 家族性地中海热
E85.900 淀粉样变
E85.900x003 斑疹性淀粉样变性
I00.x00x004 急性风湿热
M05.200 类风湿性脉管炎
M05.200x092 类风湿性血管炎
M05.303+G73.7* 类风湿性关节炎相关性肌病
M05.308 累及全身类风湿性关节炎
M05.900x093 累及内脏的类风湿性关节炎
M06.100 成年型斯蒂尔病
M30.000 结节性多动脉炎
M30.001+G73.7* 结节性多动脉炎性肌病
M30.002+G63.5* 结节性多动脉炎性多神经病
M30.003+G63.5* 结节性多动脉炎性周围神经病
M30.004 多脉管炎
M31.000x002 免疫性血管炎
M31.801 HCV感染相关血管炎
M31.802 ANCA相关性血管炎
M31.803 低补体血症血管炎
M31.900x001 坏死性脉管炎
M32.000 药物性系统性红斑狼疮
M32.100x016 狼疮性关节炎
M32.110+G73.7* 狼疮性肌病
M32.113+H36.8* 狼疮性视网膜病变
M32.800 系统性红斑狼疮,其他形式的
M32.900 系统性红斑狼疮
M32.901 隐匿性系统性红斑狼疮
M33.000 幼年型皮肌炎
M33.100x001 儿童皮肌炎
M33.100x004 成人皮肌炎
M33.101 皮肌炎
M33.105 异色皮肌炎
M33.200 多肌炎
M33.900 皮多肌炎
M34.800x002+G73.7* 系统性硬化症性肌病
M34.800x004+N08.5* 系统性硬化症肾脏危象
M34.800x005+G53.8* 系统性硬化症累及脑神经
M34.800x007+N08.5* 系统性硬化症肾损害
M34.802 布施克硬肿病
M34.804+G73.7* 全身性硬化性肌病
M34.805 肢端硬肿病
M34.806+G63.5* 全身性硬化性多神经病变
M34.900 全身性硬皮病
M34.900x001 系统性硬化症
M35.000 干燥综合征[舍格伦]
M35.001 继发性干燥综合征
M35.004+G73.7* 干燥综合征性肌病
M35.101 混合性结缔组织病
M35.102 混合性结缔组织病肾损害
M35.200 贝赫切特[贝切特]病
M35.201 贝赫切特病性关节炎
M35.300 风湿性多肌痛
M35.400 弥漫性(嗜酸细胞性)筋膜炎
M35.500 多病灶性纤维硬化病
M35.800x001 抗合成酶综合征
M35.801 嗜酸性粒细胞增多-肌痛综合征
M35.900x006+G63.5* 继发于结缔组织病的周围神经病
M35.900x007 高IgD综合征
M35.901 结缔组织病
M35.902 胶原病
M35.903+G63.5* 胶原血管性多神经病
M35.905 抗J0-1综合征
M35.906 IgG4相关疾病
M35.907 自身免疫病
