包含以下主要诊断:
D66.x03+M36.2* 血友病性关节炎
I00.x00x005 急性风湿性关节炎
I00.x01 风湿性关节炎
K50.902+M07.4* 克罗恩病性关节病
K51.904+M07.5* 溃疡性结肠炎性关节病
K52.913+M07.6* 肠病性关节炎
L40.501+M07.3* 银屑病性关节炎
L87.100 反应性穿通性胶原病
M00.800 关节炎和多关节炎,其他特指的细菌性病原体引起的
M02.300 赖特尔病
M02.800 反应性关节病,其他的
M05.800 血清反应阳性的类风湿性关节炎,其他的
M06.002 缓解性血清阴性对称性滑膜炎伴凹陷性水肿综合征
M06.003 滑膜炎-痤疮-脓疱疹-骨肥厚-骨炎综合征
M06.200 类风湿性滑囊炎
M06.300 类风湿性结节
M06.901 类风湿性肩关节关节炎
M06.902 类风湿性肘关节关节炎
M06.903 类风湿性腕关节关节炎
M06.904 类风湿性手骨间关节关节炎
M06.907 类风湿性踝关节关节炎
M06.908 类风湿性斜颈
M08.002 幼年型类风湿因子阳性关节炎
M08.100 幼年型关节强硬性脊椎炎
M08.100x092 幼年型脊椎关节炎
M08.300 幼年型多关节炎(血清反应阴性)
M08.300x001 多关节型儿童类风湿病
M08.301 慢性幼年型多关节炎
M08.400 少关节性幼年型关节炎
M08.900 幼年型关节炎
M10.400 继发性痛风,其他的
M11.800x093 假性痛风性关节炎
M11.801 焦磷酸盐结晶性关节炎(病)
M11.802 磷酸二钙结晶性关节炎(病)
M12.300 复发性风湿病
M23.601 自发性膝韧带破裂
M35.700 过度活动综合征
M35.701 家族性韧带松弛
M45.x00 强直性脊柱炎
M45.x01 类风湿性脊椎炎
M45.x02 萎缩性脊柱炎
M45.x03+H22.1* 强直性脊柱炎伴虹膜睫状体炎
M60.900 肌炎
M60.901 嗜酸性肌筋膜炎
M60.902 肌筋膜炎
M60.903 巨噬细胞肌筋膜炎
M79.810 结缔组织炎
Q79.800x007 纤维肌性发育不良
Q79.801 肯林卡综合征
Q79.803 波伦综合征
Z51.800x001 冲击治疗
