包含以下主要诊断:
A18.409 结核性狼疮
A18.410 寻常性狼疮
B35.800x002 肉芽肿性皮肤癣菌病
E10.600x021 1型糖尿病性大疱症
E10.600x023 1型糖尿病性红斑
E10.600x024 1型糖尿病性潮红
E10.600x025 1型糖尿病性皮肤硬化
E10.600x026 1型糖尿病性皮肤增厚
E10.600x027+L99.8* 1型糖尿病性糖尿病脂性渐进性坏死
E10.600x028 1型糖尿病性甲周毛细血管扩张
E10.603+L99.8* 1型糖尿病性皮肤病
E11.600x021 2型糖尿病性大疱症
E11.600x023 2型糖尿病性红斑
E11.600x024 2型糖尿病性潮红
E11.600x025 2型糖尿病性皮肤硬化
E11.600x026 2型糖尿病性皮肤增厚
E11.600x027+L99.8* 2型糖尿病性糖尿病脂性渐进性坏死
E11.600x028 2型糖尿病性甲周毛细血管扩张
E11.603+L99.8* 2型糖尿病性皮肤病
E14.600x021 糖尿病性大疱症
E14.600x022 糖尿病性皮肤病
E14.600x023 糖尿病性红斑
E14.600x024 糖尿病性潮红
E14.600x025 糖尿病性皮肤硬化
E14.600x026 糖尿病性皮肤增厚
E14.600x027+L99.8* 糖尿病性糖尿病脂性渐进性坏死
E14.600x028 糖尿病性甲周毛细血管扩张
E16.300x003+L54.8* 坏死松解性游走性红斑
E83.201 肠病性肢端皮炎
L00.x00 葡萄球菌性烫伤样皮肤综合征
L01.000x011 急性泛发性发疹型脓疱病
L01.000x012 急性发热性发疹样脓疱病
L01.001 伯克哈特脓疱病
L01.002 大疱性脓疱病
L01.100 皮肤病的脓疱化,其他的
L05.901 先天性背部皮肤窦道
L08.000x006 下疳样脓皮病
L08.000x007 慢性乳头状溃疡性脓皮病
L08.000x008 头皮糜烂脓疱性皮病
L08.000x009 芽生菌病样脓皮病
L08.001 化脓性皮炎
L08.002 脓疱性皮疹
L08.800x006 臀部感染性窦道
L08.800x008 足跟感染性窦道
L08.800x011 恶性脓皮病
L08.801 皮肤感染性窦道
L08.802 增殖性脓皮病
L08.804 背部感染性窦道
L08.805 腹壁感染性窦道
L08.900 皮肤和皮下组织的局部感染
L08.906 颈部软组织感染
L08.907 腹壁软组织感染
L08.908 会阴部软组织感染
L08.911 足软组织感染
L23.500 化学产品引起的变应性接触性皮炎,其他的
L27.900 内服物质引起的皮炎
L30.204 自体过敏性皮炎
L30.804 嗜酸性粒细胞增多性皮病
L40.100 全身脓疱性银屑病
L40.101 冯-聪布施病
L40.102 脓疱性银屑病
L40.103 疱疹样脓疱病
L40.200 持续性肢端皮炎
L40.400 滴状银屑病
L40.500 关节病型银屑病
L40.801 反常性银屑病
L40.802 红皮病性银屑病
L40.900 银屑病
L41.400 大斑块副银屑病
L43.100 大疱性扁平苔藓
L44.000 毛发红糠疹
L51.000 非大疱型多形性红斑
L51.100 大疱型多形性红斑
L53.901 红皮病
L58.101 放射性皮肤溃疡
L66.300 脓肿性头部毛囊周围炎
L73.200 化脓性汗腺炎
L73.802 毛囊闭锁三联征
L88.x00 坏疽性脓皮症
L89.200 受压区III期压疮
L89.201 骶尾区III期压疮
L89.202 坐骨区III期压疮
L89.203 股骨区III期压疮
L89.204 跟骨区III期压疮
L89.205 足踝区III期压疮
L89.206 肩胛区III期压疮
L89.207 枕骨区III期压疮
L89.208 多处III期压疮
L89.300 受压区IV期压疮
L89.301 骶尾区IV期压疮
L89.302 坐骨区IV期压疮
L89.303 股骨区IV期压疮
L89.304 跟骨区IV期压疮
L89.305 足踝区IV期压疮
L89.306 肩胛区IV期压疮
L89.307 枕骨区IV期压疮
L89.308 多处IV期压疮
L89.900 受压区压疮
L93.000 盘状红斑狼疮
L93.001 红斑狼疮
L93.100 亚急性皮肤红斑狼疮
L93.200 局限性红斑狼疮,其他的
L93.200x003 肿胀性(瘤样)狼疮
L93.201 狼疮性脂膜炎
L93.202 深在性红斑狼疮
L94.000 局限性硬皮病[硬斑病]
L94.500 血管萎缩性皮肤异色病
L95.000 青斑血管炎
L95.100 持久性隆起性红斑
L95.800 局限于皮肤的其他血管炎
L95.800x004 恶性萎缩性丘疹病
L95.801 结节性血管炎
L95.802 皮肤变应性血管炎
L95.900 局限于皮肤的血管炎
L95.900x001 白细胞碎裂性血管炎
L95.901 荨麻疹性血管炎
L98.800x012 弥漫性皮肤肥大细胞增生病
L98.800x013 系统性肥大细胞增生病
L98.803 皮肤淋巴细胞瘤
M31.000 过敏性血管炎
M31.000x005 变应性皮肤血管炎
M34.000 进行性全身性硬皮病
M34.100 全身性钙质沉着综合征[CR(E)ST]
M34.200 药物和化学物质诱发的全身性硬皮病
M34.803 蒂比耶日-魏森巴赫综合征
M79.809 普罗菲谢病
Q80.000 寻常性鱼鳞病
Q80.100 性联鱼鳞病
Q80.200 片层状鱼鳞癣
Q80.200x002 胶样婴儿
Q80.300 先天性大疱性鱼鳞病样红皮病
Q80.400 斑色胎儿
Q80.800 先天性鱼鳞病,其他的
Q80.800x001 非大疱型红皮病型鱼鳞病
Q80.900 先天性鱼鳞病
Q81.000 单纯性大疱性表皮松解症
Q81.100 致死性大疱性表皮松解症
Q81.200 营养不良性大疱性表皮松解症
Q81.800 大疱性表皮松解症,其他的
Q81.900 大疱性表皮松解症
Q82.100 着色性干皮病
Q82.800x011 先天性面部皮肤松弛
Q82.801 蓝色橡皮-疱痣综合征
Q82.802 良性家族性天疱疮
Q82.803 毛囊角化病
Q82.804 汗管角化症
Q82.805 疣状肢端角化症
Q82.806 遗传性掌跖角化症
Q84.800x012 先天性皮肤缺失
Q85.900x022 神经皮肤综合征
R21.x01 非特异性斑疹
R60.900x003 流行性水肿
R60.900x004 儿童急性出血性水肿
