包含以下主要诊断:
E10.000 1型糖尿病伴有昏迷
E10.000x001 1型糖尿病性高渗性高血糖状态昏迷
E10.000x002 1型糖尿病性高血糖状态昏迷
E10.000x005 1型糖尿病性乳酸性酸中毒并昏迷
E10.000x006 1型糖尿病性酮症酸中毒和乳酸性酸中毒并昏迷
E10.001 1型糖尿病性高渗性昏迷
E10.002 1型糖尿病性低血糖昏迷
E10.003 1型糖尿病性酮症酸中毒昏迷
E10.100 1型糖尿病伴有酮症酸中毒
E10.100x012 1型糖尿病性酮症
E10.100x031 1型糖尿病性乳酸性酸中毒
E10.100x051 1型糖尿病性酮症酸中毒和乳酸性酸中毒
E10.100x061 成人晚发自身免疫性糖尿病酮症
E10.101 1型糖尿病性酮症酸中毒
E10.102 1型糖尿病性乳酸酸中毒
E10.103 1型糖尿病酮症
E10.600x042 1型糖尿病性低血糖性癫痫发作
E10.600x043 1型糖尿病性低血糖症
E11.000 2型糖尿病伴有昏迷
E11.000x001 2型糖尿病性高渗性高血糖状态昏迷
E11.000x005 2型糖尿病性乳酸性酸中毒并昏迷
E11.000x006 2型糖尿病性酮症酸中毒和乳酸性酸中毒并昏迷
E11.001 2型糖尿病性高渗性昏迷
E11.002 2型糖尿病性低血糖性昏迷
E11.003 2型糖尿病性酮症酸中毒昏迷
E11.100x051 2型糖尿病性酮症酸中毒和乳酸性酸中毒
E11.101 2型糖尿病性酮症酸中毒
E11.102 2型糖尿病性乳酸酸中毒
E11.103 2型糖尿病性酮症
E11.600x042 2型糖尿病性低血糖性癫痫发作
E11.600x043 2型糖尿病性低血糖症
E12.000 营养不良相关性糖尿病伴有昏迷
E12.100 营养不良相关性糖尿病伴有酮症酸中毒
E13.000 糖尿病伴有昏迷,其他特指的
E13.101 继发性糖尿病性酮症酸中毒
E13.102 继发性糖尿病性酮症
E14.000 糖尿病伴有昏迷
E14.000x001 糖尿病性高渗性高血糖状态昏迷
E14.000x002 糖尿病性高血糖状态昏迷
E14.000x003 糖尿病性低血糖昏迷
E14.000x004 糖尿病性酮症酸中毒并昏迷
E14.000x005 糖尿病性乳酸性酸中毒并昏迷
E14.000x006 糖尿病性酮症酸中毒和乳酸性酸中毒并昏迷
E14.100 糖尿病伴有酮症酸中毒
E14.100x012 糖尿病性酮症
E14.100x031 糖尿病性乳酸性酸中毒
E14.100x051 糖尿病性酮症酸中毒和乳酸性酸中毒
E14.600x042 糖尿病性低血糖性癫痫发作
E14.600x043 糖尿病性低血糖症
