包含以下主要诊断:
E10.500x021+I79.2* 1型糖尿病性周围血管病及坏疽
E10.500x043 1型糖尿病性下肢溃疡
E10.500x044 1型糖尿病性足坏疽
E10.500x045 1型糖尿病性急性皮肤坏疽
E10.500x046 1型糖尿病性细菌性坏疽
E10.500x047 1型糖尿病性溶血性坏疽
E10.500x048 1型糖尿病性富尼埃坏疽
E10.500x049 1型糖尿病性曼莱尼坏疽
E10.500x051 1型糖尿病性下肢感染
E10.503 1型糖尿病性足病
E10.504 1型糖尿病性溃疡
E10.505 1型糖尿病性坏疽
E10.600x910 1型糖尿病性肌坏死
E10.600x911 1型糖尿病性坏死性筋膜炎
E10.600x920 1型糖尿病性无菌性肌坏死
E10.600x930 1型糖尿病性缺血性肌坏死
E10.700x031 1型糖尿病性足溃疡和周围血管病
E10.700x032 1型糖尿病性足溃疡和周围神经病
E11.500x043 2型糖尿病性下肢溃疡
E11.500x044 2型糖尿病性足坏疽
E11.500x045 2型糖尿病性急性皮肤坏疽
E11.500x046 2型糖尿病性细菌性坏疽
E11.500x047 2型糖尿病性溶血性坏疽
E11.500x048 2型糖尿病性富尼埃坏疽
E11.500x049 2型糖尿病性曼莱尼坏疽
E11.500x051 2型糖尿病性下肢感染
E11.503 2型糖尿病足病
E11.504 2型糖尿病性溃疡
E11.505 2型糖尿病性坏疽
E11.600x910 2型糖尿病性肌坏死
E11.600x911 2型糖尿病性坏死性筋膜炎
E11.600x920 2型糖尿病性无菌性肌坏死
E11.600x930 2型糖尿病性缺血性肌坏死
E11.700x031 2型糖尿病性足溃疡和周围血管病
E11.700x032 2型糖尿病性足溃疡和周围神经病
E14.500x021+I79.2* 糖尿病性周围血管病及坏疽
E14.500x041 糖尿病性溃疡
E14.500x042 糖尿病性坏疽
E14.500x043 糖尿病性下肢溃疡
E14.500x044 糖尿病性足坏疽
E14.500x045 糖尿病性急性皮肤坏疽
E14.500x046 糖尿病性细菌性坏疽
E14.500x047 糖尿病性溶血性坏疽
E14.500x048 糖尿病性富尼埃坏疽
E14.500x049 糖尿病性曼莱尼坏疽
E14.500x050 糖尿病足
E14.500x051 糖尿病性下肢感染
E14.600x910 糖尿病性肌坏死
E14.600x911 糖尿病性坏死性筋膜炎
E14.600x920 糖尿病性无菌性肌坏死
E14.600x930 糖尿病性缺血性肌坏死
E14.700x031 糖尿病性足溃疡和周围血管病
E14.700x032 糖尿病性足溃疡和周围神经病
