包含以下主要手术或操作:
39.2605 肾动脉-脾动脉搭桥术
40.2905 腹主动脉旁淋巴结切除术
40.5900x016 肾门淋巴结清扫术
40.5900x017 肾周淋巴结清扫术
55.0101 肾探查术
55.0107 肾血肿清除术
55.0108 移植肾探查术
55.3200x001 肾病损射频消融术
55.3302 经皮肾镜肾病损消融术
55.3400x001 腹腔镜下肾病损射频消融术
55.3501 输尿管镜下肾病损消融术
55.3903 经皮肾镜肾盂病损电切术
55.4x00 部分肾切除术
55.4x01 肾楔形切除术
55.4x03 腹腔镜下肾部分切除术
55.5101 单侧肾切除术
55.5102 供肾取肾术
55.5103 腹腔镜下单侧肾切除术
55.5104 腹腔镜下单侧肾输尿管切除术
55.5105 腹腔镜供肾取肾术
55.5106 腹腔镜膀胱镜下肾输尿管切除术
55.5200 残留肾切除术
55.5201 孤立肾切除术
55.5300x001 移植肾切除术
55.5400 双侧肾切除术
55.5401 腹腔镜下双侧肾切除术
55.7x00 肾固定术
55.7x01 腹腔镜下肾固定术
55.8101 肾裂伤修补术
55.8500 马蹄形肾联合部切开术
55.8501 腹腔镜马蹄肾峡部分离术
55.8600x006 腹腔镜下肾盏-输尿管吻合术
55.8602 肾盂输尿管吻合术
55.8603 肾盏输尿管吻合术
55.8605 肾盂输尿管膀胱吻合术
55.8606 腹腔镜下肾盂输尿管吻合术
55.8701 肾盂成形术
55.8702 肾盂输尿管成形术
55.8703 腹腔镜下肾盂输尿管成形术
55.8704 腹腔镜下肾盂成形术
55.8900x003 腹腔镜下融合肾离断术
55.8900x004 融合肾离断术
59.0901 肾周切开引流术
59.0904 腹腔镜下肾周切开引流术
59.9101 肾周病损切除术
