包含以下主要诊断：
A41.902+N08.0* 脓毒症性肾小球病变
C90.004+N16.1* 多发性骨髓瘤伴肾小管间质病
C90.005+N08.1* 骨髓瘤伴肾小球病变
D89.101+N08.2* 冷球蛋白血症性肾小球肾炎
E85.411+N29.8* 淀粉样变肾损害
M31.002+N08.5* 抗肾小球基底膜抗体病
M31.003+N08.5* 肺出血肾炎综合征相关肾小球肾炎
M31.102+N08.5* 血栓性血小板减少性紫癜相关肾小球肾炎
M31.305+N08.5* 肉芽肿性血管炎相关肾小球肾炎
M31.701+N08.5* ANCA相关性肾炎
M31.703+N08.5* 血管炎性肾小球肾炎
M32.101+N08.5* 狼疮性肾炎
N02.600 复发性和持续性血尿伴有密集沉积物病
N02.701 新月体性IgA肾病
N02.702 血尿，新月体[形]肾小球肾炎
N03.501 膜增殖性肾小球肾炎Ⅰ型
N03.502 膜增殖性肾小球肾炎Ⅲ型
N03.503 膜性增生性肾小球肾炎
N03.601 膜增殖性肾小球肾炎Ⅱ型
N03.700 慢性肾炎综合征伴有弥漫性新月形肾小球肾炎
N04.501 肾病综合征，膜增殖性肾小球肾炎Ⅰ型
N04.502 肾病综合征，膜增殖性肾小球肾炎Ⅲ型
N04.601 肾病综合征，膜增殖性肾小球肾炎Ⅱ型
N04.700 肾病综合征伴有弥漫性新月形肾小球肾炎
N05.600 肾炎综合征伴有密集沉积物病
N05.701 新月体形肾小球肾炎
N05.900x006 小血管炎肾损害
N06.600 孤立性蛋白尿伴有密集沉积物病
N06.700 孤立性蛋白尿伴有弥漫性新月形肾小球肾炎
N07.600 遗传性肾病伴有密集沉积物病，不可归类在他处者
N07.700 遗传性肾病伴有弥漫性新月形肾小球肾炎，不可归类在他处者
N28.800x001 脂蛋白肾病
