包含以下主要手术或操作：
01.3104 脑膜切开伴硬脑膜下腔血肿清除术
01.3900x002 脑白质切开术
01.3900x009 脑内血肿清除术
01.3900x012 经外侧裂脑内血肿清除术
01.3903 杏仁核海马切开术
01.3904 经颞叶脑血肿清除术
01.3905 脑立体定向血肿碎吸术
01.3906 内镜下脑血肿引流术
01.3907 脑切开异物取出术
01.3908 大脑半球切开术
02.0600x003 颅骨修补术
02.1202 脑膜膨出修补术
02.2101 脑室外引流[EVD]装置置入术
02.2102 脑室外引流[EVD]装置置换术
02.2200x001 神经内镜下第三脑室底造瘘术
02.2200x005 脑室-静脉窦分流术
02.2201 经胼胝体第三脑室造口引流术
02.2202 神经内镜第三脑室造口术
02.2203 第三脑室造口术
02.2204 脑室Ommaya泵置入术
02.2205 侧脑室脑池造口引流术
02.2206 脑室脑池分流术
02.2207 脑室蛛网膜下腔分流术
02.2208 脑室造口术
02.2210 脑室小脑延髓池分流术
02.2211 脑室胼胝体周围池分流术
02.2212 脑室颈蛛网膜下腔分流术
02.2213 脑室矢状窦分流术
02.2214 内镜下脑室造口术
02.2215 侧脑室枕大池分流术
02.2216 透明隔造瘘术
02.3200x001 脑室-颈外静脉分流术
02.3201 脑室心房分流术
02.3202 脑室腔静脉分流术
02.3203 脑室颈静脉分流术
02.3204 脑室颈外动脉分流术
02.3400x002 脑室-腹腔分流术
02.3401 侧脑室腹腔内分流术
02.3402 脑室胆囊分流术
02.3403 硬膜下腹腔分流术
02.3404 脑室镜下脑室腹腔分流术
02.3405 腹腔镜下脑室腹腔分流术
03.5100x003 脑脊膜膨出修补术
03.5200x003 脊髓外露修补术
07.2100 肾上腺病损切除术
07.2102 腹腔镜肾上腺病损切除术
17.3900x004 腹腔镜经肛门巨结肠根治术（改良Soave法）
17.3901 腹腔镜巨结肠切除术
30.0903 内镜下会厌病损切除术
30.0911 支撑喉镜下喉病损切除术
31.3x00x001 支撑喉镜下喉切开引流术
31.3x00x005 会厌切开引流术
31.3x00x008 环状软骨前切开术
31.3x04 内镜下声带切开术
31.7301 气管食管瘘修补术
32.2001 胸腔镜下肺楔形切除术
32.2003 胸腔镜下肺病损切除术
32.2903 肺袖式切除术
32.2904 肺楔形切除术
32.2905 肺部分切除术
32.3001 胸腔镜下肺叶部分切除术
32.4100 胸腔镜下肺叶切除术
32.4100x002 胸腔镜下复合肺叶切除术
32.4902 肺叶切除术
32.4903 肺叶袖状切除术
34.3x04 胸腔镜下纵隔病损切除术
34.4x00x008 胸腔病损切除术
42.3100x001 食管憩室切除术
42.3101 胸腔镜食管憩室切除术
42.3201 食管病损切除术
42.5100 胸内食管食管吻合术
44.6100x003 胃破裂修补术
44.6500x003 胸腔镜下贲门松解术
44.6901 胃修补术
45.3101 十二指肠病损切除术
45.3301 小肠病损切除术
45.3303 腹腔镜小肠病损切除术
45.6100 小肠多节段部分切除术
45.7100x001 大肠多节段切除术
45.7900x002 巨结肠切除术
45.7900x003 经肛门巨结肠根治术（改良Soave法）
46.7901 肠穿孔修补术
49.7902 肛门括约肌成形术
49.7903 肛门成形术
49.7904 腹腔镜下肛门成形术
49.7905 经会阴肛门成形术
49.7906 经骶会阴肛门成形术
53.4901 脐疝修补术
53.7101 腹腔镜经腹食管裂孔疝修补术
53.7201 经腹膈疝修补术
53.7202 经腹食管裂孔疝修补术
53.8000x001 经胸膈疝修补术
53.8001 经胸食管裂孔疝修补术
53.8002 经胸腹横膈疝修补术
53.8100x001 膈肌折叠术
53.8101 经胸膈肌折叠术
53.8102 经腹膈肌折叠术
53.8103 胸腔镜膈肌折叠术
53.8300X001 胸腔镜下膈疝修补术
53.8301 胸腔镜下食管裂孔疝修补术
53.9x05 腹膜后疝修补术
54.1201 再开腹探查术
54.4x02 腹膜后病损切除术
54.4x06 肠系膜病损切除术
54.4x07 骶前病损切除术
54.5903 肠粘连松解术
54.7100 腹裂（畸形）修补术
54.7200x002 脐膨出修补术
54.7200x003 脐膨出补片修补术
54.9500x005 腹腔镜下拉德手术（Ladd's）
54.9501 拉德手术
55.8701 肾盂成形术
55.8702 肾盂输尿管成形术
55.8703 腹腔镜下肾盂输尿管成形术
55.8704 腹腔镜下肾盂成形术
56.2x05 输尿管镜下输尿管切开术
57.8600 膀胱外翻修补术
65.2501 腹腔镜卵巢病损切除术
65.2901 卵巢病损切除术
65.3100 腹腔镜单侧卵巢切除术
65.3900x001 单侧卵巢切除术
