包含以下主要手术或操作：
01.0900x002 脑室穿刺术
01.0900x003 前囟门穿刺术
01.0900x004 硬脑膜下腔穿刺抽吸术
01.0900x005 小脑穿刺术
01.0900x006 颅内血肿硬通道穿刺引流术
01.0900x007 立体定向颅内血肿穿刺引流术
01.0900x008 脑脓肿穿刺引流术
01.0900x009 脑室钻孔引流术
01.0901 颅内穿刺引流术
01.3101 脑膜切开伴蛛网膜下腔血肿引流术
01.3102 脑膜切开伴蛛网膜下腔脓肿引流术
01.3103 脑膜切开伴硬脑膜下脓肿引流术
01.3105 硬脑膜下切开引流术
01.3106 脑蛛网膜下腔切开引流术
01.3107 脑膜切开引流术
01.3108 硬脑膜下钻孔引流术
01.3900x017 立体定向脑切开引流术
01.3902 脑室切开引流术
01.3909 脑囊肿切开引流术
01.3910 脑血肿切开引流术
01.3911 脑脓肿切开引流术
02.0601 额瓣修复术
02.0602 颅缝再造术
02.0603 颅骨有机玻璃修补术
30.0900x021 会厌病损切除术
30.0902 喉病损切除术
31.3x01 喉探查术
31.3x02 气管探查术
31.3x03 气管切开异物取出术
31.7900x004 气管狭窄松解术
31.7900x005 气管隆突成形术
49.0101 肛周脓肿穿刺抽吸术
49.9100 肛门隔膜切开术
58.3905 尿道狭窄切除术
58.5x00 尿道狭窄松解术
59.0201 输尿管狭窄松解术
59.0202 输尿管周围粘连松解术
86.0100x003 皮肤和皮下组织的血肿抽吸术
86.0101 帽状腱膜下血肿穿刺吸引术
