包含以下主要诊断：
B49.x14+J99.8* 肺真菌感染
E84.101+P75* 囊性纤维化性胎粪性肠梗阻
G00.902 新生儿化脓性脑膜炎
J15.903 社区获得性肺炎，重症
J18.903 重症肺炎
J69.001 吸入性肺炎
J96.000 急性呼吸衰竭
J96.900x001 呼吸衰竭
J96.900x002 I型呼吸衰竭
J96.900x003 Ⅱ型呼吸衰竭
K35.300 急性阑尾炎伴局限性腹膜炎
K35.301 急性阑尾炎伴腹膜脓肿
K35.800x001 急性阑尾炎
K56.500x003 粘连性肠梗阻
K56.700 肠梗阻
P11.500x002 新生儿脊髓损伤
P11.500x003 新生儿脊柱损伤
P11.900x001 新生儿中枢神经系统损伤
P12.000x001 新生儿头颅血肿
P15.000 肝的产伤
P15.100 脾的产伤
P21.000 严重的出生窒息
P24.001 新生儿胎粪吸入综合征
P25.100 起源于围生期的气胸
P25.300 起源于围生期的心包积气
P26.000 起源于围生期的气管支气管出血
P26.100 起源于围生期的大量肺出血
P26.800 起源于围生期的其他肺出血
P26.900 起源于围生期的肺出血
P27.100 起源于围生期的支气管肺发育不良
P27.802 先天性肺纤维化
P27.900 起源于围生期的慢性呼吸性疾病
P28.500 新生儿呼吸衰竭
P29.000 新生儿心力衰竭
P29.100 新生儿心律失常
P29.301 新生儿持续性肺动脉高压
P29.800x901 新生儿循环衰竭
P29.800x902 新生儿心包积液
P35.300 先天性病毒性肝炎
P36.000 B族链球菌性新生儿脓毒症
P36.200 金黄色酿脓葡萄球菌性新生儿脓毒症
P36.400 大肠杆菌性新生儿脓毒症
P36.500 厌氧菌性新生儿脓毒症
P36.800x001 新生儿铜绿假单胞菌脓毒症
P36.800x002 新生儿肺炎克雷伯菌脓毒症
P36.800x003 新生儿阴沟肠杆菌脓毒症
P36.800x004 新生儿不动杆菌脓毒症
P36.800x005 新生儿枸橼酸杆菌脓毒症
P36.900 新生儿的细菌性脓毒症
P36.901 新生儿脓毒症
P37.200 新生儿（播散性）利斯特菌病
P37.800x001 新生儿真菌性脑膜炎
P37.800x002 新生儿真菌性脓毒症
P39.800x008 新生儿大肠杆菌感染
P52.000 胎儿和新生儿脑室内（非创伤性）出血，Ⅰ度
P52.100 胎儿和新生儿脑室内（非创伤性）出血，Ⅱ度
P52.200x001 新生儿脑室内出血Ⅲ度（非创伤性）
P52.200x002 新生儿脑室内出血Ⅳ度（非创伤性）
P52.300 胎儿和新生儿的脑室内（非创伤性）出血
P52.400 胎儿和新生儿大脑内（非创伤性）出血
P52.500 胎儿和新生儿蛛网膜下（非创伤性）出血
P52.600x001 新生儿小脑出血（非创伤性）
P52.600x002 新生儿后颅凹出血（非创伤性）
P52.900 胎儿和新生儿的颅内（非创伤性）出血
P54.300x001 新生儿胃肠道出血
P54.300x002 新生儿胃出血
P54.800x003 新生儿心包积血
P55.000x002 新生儿Rh血型不合溶血性贫血
P55.001 新生儿抗D抗体增高
P55.002 新生儿RH溶血症
P55.801 新生儿MN溶血症
P55.900 胎儿和新生儿的溶血性疾病
P56.000 同种免疫引起的胎儿水肿
P56.900 溶血性疾病引起的胎儿水肿，其他和未特指的
P57.000 同种免疫引起的核黄疸
P57.800 核黄疸，其他特指的
P57.900 核黄疸
P57.901 新生儿胆红素脑病
P60.x00 胎儿和新生儿播散性血管内凝血
P61.001 新生儿血小板减少性紫癜
P61.300 胎儿失血所致的先天性贫血
P74.501 新生儿高酪氨酸血症
P77.x01 新生儿坏死性小肠结肠炎
P78.000x003 新生儿空肠穿孔
P78.000x004 新生儿回肠穿孔
P78.000x005 新生儿结肠穿孔
P78.000x006 新生儿乙状结肠穿孔
P78.000x007 新生儿直肠穿孔
P78.001 新生儿肠穿孔
P78.002 胎粪性腹膜炎
P78.100x001 新生儿腹膜炎
P78.800x007 新生儿阑尾炎
P78.800x009 新生儿胃穿孔
P78.803 先天性肝硬化
P83.302 胎儿水肿
P91.000x002 新生儿脑梗死
P91.100 新生儿后天性脑室周围囊肿
P91.200 新生儿脑白质软化
P91.300 新生儿大脑兴奋增盛
P91.400 新生儿大脑抑制
P91.500 新生儿昏迷
P91.600 新生儿缺氧缺血性脑病
P91.700 后天性新生儿脑积水
P91.800x001 新生儿脑病
P91.801 新生儿颅内静脉窦血栓形成
P91.802 新生儿中毒性脑病
P91.900 新生儿大脑障碍
P93.x00 胎儿和新生儿用药引起的反应和中毒
P93.x01 新生儿用药中毒
P95.x00 胎儿死亡
P96.000x001 先天性肾功能衰竭
P96.000x002 新生儿尿毒症
P96.801 新生儿多器官功能损害
P96.802 新生儿缺血缺氧性肾损害
P96.803 新生儿死亡
P96.804 新生儿休克
Q27.000 先天性脐动脉缺如和发育不全
Q89.400 联体儿
R95.000 婴儿猝死综合征伴提及尸体解剖
R95.900 婴儿猝死综合征伴未提及尸体解剖
