包含以下主要诊断:
A37.901+J17.0* 百日咳肺炎
J04.000 急性喉炎
J12.000 腺病毒肺炎
J12.100 呼吸道合胞体病毒肺炎
J12.200 副流感病毒肺炎
J12.800 病毒性肺炎,其他的
J12.900 病毒性肺炎
J13.x00 链球菌性肺炎
J14.x00 流感嗜血杆菌性肺炎
J15.000x002 克雷伯杆菌肺炎
J15.101 铜绿假单胞菌性肺炎
J15.200 葡萄球菌性肺炎
J15.500 大肠杆菌性肺炎
J15.600x002 革兰阴性细菌性肺炎
J15.700 肺炎支原体性肺炎
J15.900 细菌性肺炎
J15.901 细菌性支气管肺炎
J15.902 社区获得性肺炎,非重症
J18.000x001 喘息性支气管肺炎
J18.002 支气管肺炎,非重症
J18.100 大叶性肺炎
J18.800x001 多重感染的肺炎
J93.100x001 自发性气胸
J94.804 胸腔积液
K25.400x001 胃溃疡伴出血
K25.900x001 胃溃疡
K26.401 十二指肠球部溃疡伴出血
K26.900x001 十二指肠溃疡
K26.900x002 十二指肠球部溃疡
K27.901 消化性溃疡
K56.701 不完全性肠梗阻
K61.001 肛周脓肿
K92.207 急性上消化道出血
K92.208 上消化道出血
K92.209 下消化道出血
K92.210 消化道出血
L00.x01 新生儿天疱疮
P05.001 低体重儿
P05.100 小于胎龄
P05.102 足月小样低体重儿
P10.000 产伤引起的硬膜下出血
P10.100 产伤引起的大脑出血
P10.200 产伤引起的脑室内出血
P10.300 产伤引起的蛛网膜下隙出血
P10.400 产伤引起的脑幕撕裂
P10.800 产伤引起的其他颅内撕裂和出血
P10.901 产伤致新生儿颅内出血
P11.000 产伤引起的脑水肿
P11.100 产伤引起的其他特指的脑损害
P11.101 产伤致新生儿脑白质损伤
P11.200 产伤引起的脑损害
P11.300 面神经产伤
P11.400 脑神经的产伤,其他的
P13.200 股骨产伤
P13.300 长骨的产伤,其他的
P13.301 产伤致新生儿肱骨骨折
P14.200 产伤引起的膈神经麻痹
P14.300 臂丛神经的产伤,其他的
P14.800x001 新生儿喉返神经麻痹
P21.101 新生儿中度出生窒息
P21.102 新生儿轻度出生窒息
P21.900 出生窒息
P21.900x002 新生儿低氧血症
P22.801 新生儿呼吸困难
P23.300 B族链球菌性先天性肺炎
P23.400 大肠杆菌性先天性肺炎
P23.500 假单胞菌性先天性肺炎
P25.801 新生儿肺大疱
P28.000 新生儿原发性肺不张
P28.102 新生儿肺不张
P28.402 早产儿呼吸暂停
P28.800x201 新生儿插管后声门下狭窄
P28.800x901 新生儿周期性呼吸
P29.300 持久的胎儿循环
P29.802 新生儿低血压
P29.900 起源于围生期心血管疾患
P35.000 先天性风疹综合征
P35.000x001 先天性风疹肺炎
P35.100 先天性巨细胞病毒感染
P35.200 先天性疱疹病毒[单纯疱疹]感染
P35.400 先天性寨卡病毒病
P35.401 先天性寨卡病毒病引起的小头畸形
P35.800x001 先天性水痘
P35.900 先天性病毒性疾病
P36.101 链球菌性新生儿脓毒症
P36.301 葡萄球菌性新生儿脓毒症
P37.400 先天性疟疾,其他的
P37.500 新生儿念珠菌病
P37.900 先天性传染病和寄生虫病
P37.901 先天性寄生虫病
P39.000 新生儿感染性乳腺炎
P39.300 新生儿泌尿道感染
P39.801 新生儿颅内感染
P39.900 特发于围生期的感染
P51.000 新生儿脐带大量出血
P52.801 非创伤性新生儿硬膜外出血
P52.802 非创伤性新生儿硬膜下出血
P54.900 新生儿出血
P55.102 新生儿ABO溶血性贫血
P55.800x002 新生儿血型不合溶血病(Duffy系统)
P58.800x001 新生儿葡萄糖-6-磷酸脱氢酶[G6PD]缺乏性溶血性贫血
P58.900 过度溶血引起的新生儿黄疸
P59.202 婴儿肝炎综合征
P59.203 胎儿或新生儿巨细胞肝炎
P61.100 新生儿红细胞增多症
P61.200 早产性贫血
P70.100 糖尿病母亲的婴儿综合征
P70.200 新生儿糖尿病
P70.400x001 新生儿低血糖症
P70.401 新生儿顽固性低血糖
P70.801 新生儿高血糖症
P74.001 新生儿短暂性代谢性酸中毒
P74.802 新生儿低蛋白血症
P78.300x002 非感染新生儿性肠炎
P78.300x005 非感染性新生儿结肠炎
P78.800x005 新生儿幽门痉挛
P78.800x008 新生儿胆汁淤积症
P78.804 新生儿消化性溃疡
P78.805 新生儿暂时性胃扭转
P78.900 围生期消化系统疾患
P83.000 新生儿硬化病[硬肿症]
P83.800x006 蓝莓松饼状婴儿
P83.802 新生儿皮下脂肪坏疽
P83.901 新生儿骶尾肿物
P90.x00 新生儿惊厥
P91.900x001 围生期脑损伤
P94.200x002 先天性肌弛缓综合征[松软儿]
P94.900 新生儿肌张力疾患
Q43.103 先天性普通型巨结肠
R91.x03 肺占位性病变
