包含以下主要诊断:
A04.000x001 新生儿肠致病性大肠杆菌肠炎
A04.100x002 新生儿肠毒性大肠杆菌肠炎
A04.200x002 新生儿肠侵袭性大肠杆菌肠炎
A04.301 新生儿肠出血性大肠杆菌肠炎
A04.400x003 新生儿肠粘附性大肠杆菌肠炎
A04.402 新生儿大肠杆菌肠炎
A08.000 轮状病毒性肠炎
A08.101 诺如病毒性急性胃肠病
A09.004 感染性腹泻
A09.900x003 急性肠炎
A09.900x005 新生儿腹泻
A09.900x006 肠炎
A09.900x007 腹泻
A09.901 胃肠炎
A09.902 结肠炎
A33.x00 新生儿破伤风
A37.900 百日咳
A54.301+H13.1* 淋球菌性新生儿眼炎
B08.501 疱疹性咽峡炎
E55.000x006 新生儿佝偻病
H65.000x002 急性分泌性中耳炎
H65.900x001 分泌性中耳炎
H66.000 急性化脓性中耳炎
H66.400 化脓性中耳炎
H66.900x002 急性中耳炎
I88.001 急性肠系膜淋巴结炎
J00.x00 急性鼻咽炎[感冒]
J01.900 急性鼻窦炎
J02.900 急性咽炎
J02.902 急性咽峡炎
J03.900 急性扁桃体炎
J03.901 急性化脓性扁桃体炎
J04.200 急性喉气管炎
J05.100 急性会厌炎
J06.000 急性咽喉炎
J06.900 急性上呼吸道感染
J10.100x001 已知病毒的流行性感冒
J11.100x001 未知病毒的流感性感冒
J18.000 支气管肺炎
J18.803 阻塞性肺炎
J18.900 肺炎
J20.000 肺炎支原体急性支气管炎
J20.100 流感嗜血杆菌急性支气管炎
J20.600 鼻病毒急性支气管炎
J20.800 急性支气管炎,其他特指病原体引起的
J20.900 急性支气管炎
J20.902 急性气管支气管炎
J21.900x002 急性毛细支气管炎
J21.901 急性喘息性支气管炎
J22.x00 急性下呼吸道感染
J40.x00 支气管炎
J45.005 咳嗽变异性哮喘
J45.900x001 支气管哮喘
J45.900x021 支气管哮喘(急性发作期)
J98.414 肺部感染
J98.700 呼吸道感染
K10.200x009 新生儿颌骨骨髓炎
K21.001 反流性食管炎
K21.900x003 胃食管反流
K29.100x001 急性胃炎
K29.603 糜烂性胃炎
K29.700 胃炎
K30.x00x002 新生儿消化不良
K31.703 胃息肉
K31.904 急性胃黏膜病变
K40.900x002 单侧腹股沟疝
K51.900 溃疡性结肠炎
K52.203 过敏性肠炎
K59.000 便秘
K59.900x001 肠功能紊乱
K62.100 直肠息肉
K62.811 直肠炎
K92.200x001 便血
K92.901 胃肠功能紊乱
L01.006 新生儿大疱性脓疱疮
P00.807 母体系统性红斑狼疮新生儿
P05.200 胎儿营养不良
P05.900 胎儿生长缓慢
P05.900x001 胎儿宫内生长迟缓
P08.000 特大婴儿
P08.100x001 大于胎龄儿
P08.100x002 巨大儿
P08.200x002 过期产儿
P12.100 产伤引起的热带毛孢子菌病
P12.201 产伤引起的帽状腱膜下血肿
P12.300 产伤引起的头皮挫伤
P12.400 新生儿头皮监测性损伤
P12.801 产伤致新生儿头皮水肿
P12.900 头皮产伤
P13.000 产伤引起的颅骨骨折
P13.100 颅骨的其他产伤
P13.400 产伤引起的锁骨骨折
P13.800 骨骼其他部位的产伤
P13.801 产伤致新生儿肋骨骨折
P13.900 骨骼产伤
P14.000 产伤引起的埃尔布麻痹
P14.100 产伤引起的克隆普克麻痹
P14.800x002 新生儿桡神经麻痹
P14.900 周围神经系统的产伤
P15.201 产伤致新生儿斜颈
P15.300 眼的产伤
P15.400 面部产伤
P15.500 外生殖器产伤
P15.600 产伤引起的皮下脂肪坏死
P15.800x004 新生儿软组织挤压伤
P15.801 产伤致新生儿咽部损伤
P15.802 产伤致新生儿肛门裂伤
P15.803 产伤致新生儿足挫伤
P15.804 产伤致新生儿皮肤损伤
P15.900 产伤
P15.901 新生儿挤压综合征
P20.000 在产程开始前首先察觉到的子宫内低氧症
P20.100 在产程和分娩中首先察觉到的子宫内低氧症
P20.900 子宫内低氧症
P20.901 新生儿子宫内低氧酸中毒
P23.000x001 新生儿病毒性肺炎
P23.100 衣原体性先天性肺炎
P23.200 葡萄球菌性先天性肺炎
P23.600 先天性肺炎,其他细菌性病原体引起的
P23.600x001 新生儿支原体肺炎
P23.600x002 新生儿流感嗜血杆菌肺炎
P23.600x003 新生儿肺炎杆菌肺炎
P23.600x004 新生儿链球菌肺炎(非B族)
P23.800 先天性肺炎,其他病原体引起的
P23.900 先天性肺炎
P24.002 新生儿胎粪吸入性肺炎
P24.101 新生儿羊水吸入性肺炎
