包含以下主要诊断：
D65.x00x005 消耗性凝血障碍
D65.x01 后天性纤维蛋白原缺乏血症
D65.x02 后天性纤维蛋白溶解性出血
D65.x03 纤维蛋白溶解性紫癜
D66.x00x001 获得性血友病
D66.x01 血友病A型
D66.x02 血友病
D67.x00x003 克里斯马斯病
D67.x01 血友病B型
D68.000 冯·维勒布兰德病
D68.000x001 血管性血友病
D68.000x002 因子Ⅷ缺乏伴血管缺陷
D68.001 获得性血管性血友病
D68.100x001 血浆凝血致活酶前质缺乏
D68.101 血友病C型
D68.200x001 凝血酶原缺乏
D68.200x005 先天性纤维蛋白原缺乏血症
D68.201 纤维蛋白原缺乏血症
D68.202 凝血因子Ⅰ缺乏症
D68.203 凝血因子Ⅱ缺乏症
D68.204 凝血因子Ⅴ缺乏症
D68.205 凝血因子Ⅶ缺乏症
D68.206 凝血因子Ⅹ缺乏症
D68.207 凝血因子Ⅻ缺乏症
D68.208 凝血因子XIII缺乏症
D68.300 循环抗凝物引起的出血性疾患
D68.300x001 因子Ⅷ抗体形成
D68.400 后天性凝血因子缺乏
D68.400x002 获得性维生素K依赖因子缺乏症
D68.400x003 由于肝病引起的凝血因子缺乏
D68.401 维生素K依赖因子缺乏症
D68.402 自身免疫性凝血酶原减少
D68.801 凝血因子缺乏
D68.900x003 凝血功能异常
D68.900x006 低纤维蛋白原血症
D68.902 凝血障碍
D69.800x002 血管性假血友病
