包含以下主要诊断：
D65.x00x001 弥散性血管内凝血
D65.x04 暴发性紫癜
D68.200x006 AC球蛋白缺乏
D68.200x007 低前转变素血症
D68.200x008 奥夫伦病
D68.200x009 前加速因子缺乏
D68.200x010 先天性异常纤维蛋白原血症
D68.300x003 血循环中抗凝物质存在
D68.300x004 抗凝血酶增多
D68.301 高肝素血症
D68.302 抗凝血酶增多导致的出血症
D68.303 长期使用抗凝剂引起的出血
D68.901 出血倾向
D68.903 凝血时间延长
D69.000 变应性［过敏性］紫癜
D69.000x007 恶性紫癜
D69.000x008 感染性紫癜
D69.000x010 神经性紫癜
D69.000x011 细菌性紫癜
D69.000x013 中毒性紫癜
D69.001 皮肤型过敏性紫癜
D69.002 关节型过敏性紫癜
D69.003 风湿性紫癜
D69.004 过敏性紫癜
D69.006 混合型过敏性紫癜
D69.007 血管性紫癜
D69.008 变应性血管炎
D69.009 腹型过敏性紫癜
D69.010 亨诺克紫癜
D69.100x001 血小板病
D69.100x002 出血性血小板功能不全
D69.100x003 贝尔纳德-苏利耶综合征[Bernard-Soulier综合征]
D69.100x004 格兰茨曼病
D69.101 血小板功能不全
D69.102 巨大血小板综合征
D69.103 灰色血小板综合征
D69.200 非血小板减少性紫癜、其他的
D69.200x003 精神性紫癜
D69.200x005 湿疹样紫癜
D69.200x006 糖皮质激素紫癜
D69.200x007 血小板增多性紫癜
D69.200x008 淤积性紫癜
D69.201 单纯性紫癜
D69.202 老年性紫癜
D69.203 紫癜
D69.302 埃文斯综合征
D69.400 血小板减少，其他原发性的
D69.400x001 巨核细胞再生不良
D69.400x003 无巨核细胞性血小板减少
D69.400x006 先天性巨核细胞增生不良
D69.800 出血性情况，其他特指的
D69.801 卡-梅综合征
D69.802 毛细血管脆弱
D69.900 出血性情况
R23.300 自发性瘀斑
R23.300x003 出血斑点
R23.301 皮下出血
