入组条件 1：主要手术或操作 1 + 全部手术或操作 2
或入组条件 2：其他诊断 + 主要手术或操作 1
其他诊断：
Z51.101 手术前恶性肿瘤化学治疗
Z51.102 手术后恶性肿瘤化学治疗
Z51.103 恶性肿瘤维持性化学治疗
Z51.104 姑息性化疗
Z51.800x095 恶性肿瘤免疫治疗
Z51.800x951 恶性肿瘤术前免疫治疗
Z51.800x952 恶性肿瘤术后免疫治疗
Z51.800x981 恶性肿瘤术前靶向治疗
Z51.801 恶性肿瘤靶向治疗
Z51.805 肿瘤术后免疫治疗
Z51.807 恶性肿瘤术后靶向治疗
Z51.810 肿瘤免疫治疗
主要手术或操作 1：
92.2100 表浅放射治疗
92.2200 正电压放射治疗
92.2201 深部放射治疗
92.2300 放射性核素远距离放射疗法
92.2301 碘-125放射性同位素远距离治疗
92.2302 放射性铯远距离治疗
92.2303 钴-60放射性同位素远距离治疗
92.2400 光子远距离放射疗法
92.2400x002 三维适形放射治疗[3D-CRT]
92.2400x003 调强适形放射治疗[IMRT]
92.2400x004 体部立体定向放射治疗[SBRT]
92.2400x005 容积弧形调强放射治疗[VMAT]
92.2400x006 影像引导调强适形放射治疗[IGRT]
92.2400x007 螺旋断层放射治疗[TOMO]
92.2500 电子远距离放射疗法
92.2501 β-粒子放疗
92.2600x001 重离子（碳离子）远距离放射治疗
92.2601 质子远距离放射治疗
92.2602 中子远距离放射治疗
92.3000 立体定向放射外科
92.3001 脑立体定向双侧扣带回毁损术
92.3002 脑立体定向药瘾戒断术
92.3100 单源光子放射外科
92.3101 直线加速器放射治疗
92.3102 X刀放射治疗
92.3200 多源光子放射外科
92.3200x001 伽马刀放射外科治疗
92.3201 立体定向γ放射治疗
92.3202 钴-60放射治疗
92.3900 其他立体定向放射外科治疗
92.4100 手术中电子放射治疗
全部手术或操作 2：
99.2500x036 椎管内注射化疗药物
99.2500x037 超声内镜下化疗药物注射
99.2500x038 皮下注射化疗药物
99.2500x039 子宫颈注射化疗药物
99.2502 动脉注射化疗药物
99.2503 静脉注射化疗药物
99.2504 肌肉注射化疗药物
99.2505 化疗药物灌注
99.2506 膀胱灌注化疗
99.2800x003 抗肿瘤基因治疗
99.2800x004 肌肉注射抗肿瘤免疫抑制剂治疗
99.2800x005 静脉注射抗肿瘤免疫制剂治疗
99.2800x006 分子靶向治疗
99.2801 抗肿瘤免疫治疗
