入组条件：主要诊断 1 + 其他诊断 2 + 主要手术或操作
主要诊断 1：
Z51.800x095 恶性肿瘤免疫治疗
Z51.800x951 恶性肿瘤术前免疫治疗
Z51.800x952 恶性肿瘤术后免疫治疗
Z51.800x981 恶性肿瘤术前靶向治疗
Z51.801 恶性肿瘤靶向治疗
Z51.805 肿瘤术后免疫治疗
Z51.807 恶性肿瘤术后靶向治疗
Z51.810 肿瘤免疫治疗
其他诊断 2：
D45.x00 真性红细胞增多症
D46.001 难治性贫血伴单系病态造血
D46.100 难治性贫血伴有环形铁粒幼细胞
D46.100x002 伴环形铁粒幼红细胞的难治性贫血合并血小板显著增多
D46.100x012 伴环形铁粒幼红细胞的难治性贫血合并血小板显著增多伴缓解
D46.200 难治性贫血伴有胚细胞过多
D46.201x001 难治贫血伴有胚细胞过多-I型
D46.203 难治性贫血伴有胚细胞过多-II型
D46.400 难治性贫血
D46.500 难治性贫血伴多系病态造血
D46.600 MDS-5q-综合症
D46.700 骨髓增生异常综合征，其他的
D46.700x001 难治性血细胞减少伴单一系列病态造血
D46.700x002 难治性中性粒细胞减少症
D46.700x003 难治性血小板减少症
D46.700x006 不能分型的骨髓异常增生综合征
D46.700x007 儿童骨髓异常增生综合征
D46.700x008 儿童难治性血细胞减少
D46.900 骨髓增生异常综合征
D46.900x002 骨髓增生异常性贫血
D46.900x004 骨髓发育不良综合征
D46.900x006 治疗相关性AML和MDS
D46.901 白血病前期综合征
D47.000 动态未定和动态未知的组织细胞和肥大细胞瘤
D47.001 懒性系统性肥大细胞增多症
D47.002 肥大细胞肿瘤，未特指
D47.003 肥大细胞瘤，未特指
D47.004 非肥大细胞系的造血系统增生疾病
D47.100 慢性骨髓增生性疾病
D47.100x004 慢性骨髓增殖性肿瘤
D47.100x007 慢性骨髓增殖性疾病（不能分型）
D47.100x008 骨髓增生异常性/骨髓增殖性肿瘤（不能分型）
D47.100x009 唐氏综合征相关的骨髓增殖性疾病
D47.100x017 慢性骨髓增殖性疾病伴缓解（不能分型）
D47.100x018 骨髓增生异常性/骨髓增殖性肿瘤伴缓解（不能分型）
D47.100x019 慢性中性粒细胞性白血病伴缓解
D47.101 慢性中性粒细胞白血病
D47.401 慢性原发性（特发性）骨髓纤维化
D47.402 （特发性）（髓样化生性）骨髓纤维化
D47.403 （巨核细胞性）骨髓硬化伴有髓样化生的
D47.404 继发性骨髓纤维化骨髓增殖性疾病
D47.500 慢性嗜酸性粒细胞白血病
主要手术或操作：
99.2800x003 抗肿瘤基因治疗
99.2800x004 肌肉注射抗肿瘤免疫抑制剂治疗
99.2800x005 静脉注射抗肿瘤免疫制剂治疗
99.2800x006 分子靶向治疗
99.2801 抗肿瘤免疫治疗
