包含以下主要诊断:
A18.100x021+N37.8* 结核性会阴瘘
A18.100x022+N37.8* 结核性尿道瘘
A18.100x025+N29.1* 结核性肾盂炎
A18.100x031 男性盆腔结核
A18.101 泌尿系统结核
A18.103+N29.1* 肾结核
A18.104+N29.1* 结核性肾脓肿
A18.105+N29.1* 结核性肾盂积水
A18.106+N29.1* 输尿管结核
A18.107+N29.1* 结核性输尿管狭窄
A18.108+N33.0* 膀胱结核
A18.200x006 淋巴结结核
A18.200x010 周围淋巴结结核
A18.206 锁骨上淋巴结结核
A18.207 腋下淋巴结结核
A18.208 食管旁淋巴结结核
A18.209 闭孔淋巴结结核
A18.210 腹股沟淋巴结结核
A18.211 结核性淋巴管炎
A18.212 全身多发淋巴结结核
A18.700+E35.1* 肾上腺结核
A18.700x002+E35.1* 结核性艾迪生病
A18.801+E35.8* 垂体结核
A18.806+E35.0* 甲状腺结核
A18.813+D77* 脾结核
P37.000 先天性结核病
