包含以下主要手术或操作：
80.5111 内镜下腰椎髓核切除术
80.5401 腰椎间盘纤维环缝合术
03.0900x005 颈椎前路椎管减压术
03.0900x006 腰椎椎板切除减压术
03.0900x007 胸椎椎板切除减压术
03.0900x009 椎管成形术
03.0900x010 椎管减压术
03.0900x014 椎管钻孔减压术
03.0900x016 椎间孔切开术
03.0900x019 脊髓后正中点状切开术
03.0900x021 颈椎椎间孔钻孔减压术
03.0900x022 经皮内镜颈椎椎板切除减压术
03.0900x023 胸椎后路椎板切除减压术
03.0900x026 腰椎后路椎板切除减压术
03.0900x027 腰椎后路椎板成形术
03.0900x028 骶椎后路椎管减压术
03.0901 椎管探查术
03.0903 脊神经根探查术
03.0904 椎间孔减压术
03.0905 脊神经根减压术
03.0908 椎间盘粘连松解术
03.0913 椎间盘镜下椎管成形术
03.0914 椎间盘镜下椎管减压术
03.0915 椎间盘镜下椎间孔切开术
03.9000x001 连续硬膜外阻滞术
03.9102 脊神经根阻滞术
03.9300x003 脊髓神经刺激器导线置入术
03.9300x004 脊髓神经刺激器导线置换术
03.9302 脊髓神经刺激器置换术
03.9400x001 骶神经电刺激器导线取出术
03.9400x002 脊髓神经刺激器导线取出术
04.0200x007 三叉神经射频毁损术
04.0200x008 三叉神经半月节球囊压迫术
04.0700x034 蝶腭神经烧灼术
04.2x01 颅神经破坏术
04.2x03 周围神经烧灼术
04.2x04 脊神经破坏术
04.2x05 脊髓神经根射频消融术
04.2x06 椎间孔镜下经侧后路脊神经内侧支射频消融术
04.2x10 肋间神经冷冻术
04.2x11 肋间神经射频消融术
04.2x12 内脏神经无水酒精注射术
04.2x13 神经感觉支乙醇注射术
04.8100 周围神经麻醉药注射，为了镇痛
04.8100x003 周围神经麻醉止痛
04.8101 周围神经阻滞术
04.8102 三叉神经阻滞术
04.8103 下颌神经阻滞术
04.8104 肋间神经阻滞术
04.8105 腹腔神经阻滞术
04.8106 股神经阻滞术
04.9200x001 周围神经刺激器导线置入术
04.9200x002 周围神经刺激器导线置换术
04.9200x003 骶神经神经刺激器导线置入术
04.9202 周围神经刺激器置换术
04.9203 骶神经神经刺激器置入术
04.9300x001 周围神经电刺激器导线去除术
04.9301 骶神经刺激电极取出术
05.2100x002 翼腭神经节破坏术
05.2200x002 经皮穿刺颈交感神经节毁损术
05.2300x004 经皮穿刺腰交感神经节毁损术
05.2300x005 经皮穿刺腹腔神经丛毁损术
05.2300x006 经皮腹腔神经丛射频消融术
05.2300x007 腹膜后无水酒精神经阻滞术
05.3100 麻醉药交感神经注射，为了镇痛
05.3100x006 星状神经节阻滞术
05.3100x007 腹腔神经节阻滞术
05.3100x008 内窥镜下腹腔神经节阻滞术
05.3100x009 腹膜后神经丛阻滞术
05.3100x010 脊神经丛阻滞术
05.3101 腹腔无水酒精神经阻滞术
05.3200x001 交感神经注射破坏剂
05.3900 交感神经或神经节的其他注射
77.6900x059 经皮椎骨病损射频消融术
80.5100x037 经皮腰椎间盘髓核切吸术
80.5110 内镜下腰椎间盘切除术
80.5200 椎间盘化学溶解术
80.5900x001 椎间盘射频消融术
80.5900x003 椎间盘激光汽化术
86.0600x004 药物治疗泵置入
