00.0101 头部血管治疗性超声
00.1801 单克隆抗体治疗
00.1802 多克隆抗体治疗
03.9102 脊神经根阻滞术
04.8101 周围神经阻滞术
04.8102 三叉神经阻滞术
04.8103 下颌神经阻滞术
04.8104 肋间神经阻滞术
04.8105 腹腔神经阻滞术
04.8106 股神经阻滞术
16.0200 眼眶切开术伴置入眼眶植入物
17.7200 聚焦超声消融
17.7300 聚焦超声治疗
17.7300x001 经皮聚焦超声热疗
17.7300x002 高强度聚焦超声治疗
39.6500x001 体外膜肺氧合[ECMO]安装术
39.6500x002 体外膜肺氧合[ECMO]撤离术
39.9500x004 血浆置换
39.9500x005 单膜血浆置换
39.9500x006 双膜血浆置换
52.2200x002 术中胰腺病损微波消融术
52.2200x003 术中胰腺病损冷冻消融术
55.3200x002 术中肾病损纳米刀消融术
69.5901 电吸刮宫术
86.0600x004 药物治疗泵置入
93.1100 辅助运动训练
93.1101 悬吊治疗
93.1102 电动起立床训练
93.1103 减重支持系统训练
93.1200x001 肌肉骨骼运动训练
93.1300x001 对抗阻力辅助运动训练
93.1301 等速肌力训练
93.1400 关节运动训练
93.1500 脊柱松动法
93.1600x001 关节松动法
93.1700x001 被动性肌肉骨骼运动训练
93.1800 呼吸训练
93.1900 训练
93.1900x001 运动训练
93.2200 行走和步态训练
93.2300 矫形装置安装
93.2400x002 假肢功能训练
93.2400x003 矫形器功能训练
93.2401 用拐行走训练
93.2500 肢体强迫伸展
93.2700x001 肌腱伸展训练
93.2800 筋膜伸展
93.2900x001 畸形强制性矫正训练
93.2901 畸形足手法矫正
93.3100 水池中辅助训练
93.3600 心脏再训练
93.3801 脑瘫肢体综合训练
93.3802 偏瘫肢体综合训练
93.3803 平衡功能训练
93.3804 截瘫肢体综合训练
93.7100 诵读训练
93.7200 语言障碍训练
93.7300 食管说话训练
93.7400 语言缺损训练
93.7500x001 语言治疗
93.7600 训练盲人使用导盲犬
93.7701 盲文阅读训练
93.7800 盲人的其他康复疗法
93.8300x002 日常生活动作训练
93.8500 职业康复
93.9000 无创机械性通气
93.9000x002 无创呼吸机辅助通气(双水平气道正压[BiPAP])
93.9000x003 无创呼吸机辅助通气(高频通气[HFPPV])
93.9001 持续性气道正压通气（CPAP）
93.9100 间歇性正压通气[IPPB]
99.1100 注射Rh免疫球蛋白
99.1401 免疫血清注射
99.2900x007 非抗肿瘤免疫治疗
99.7600 体外免疫吸附
