AA19	心肺移植
AA29	肺移植
AA39	心脏移植
AB19	同种异体肝移植
AB29	同种自体肝移植
AC19	胰／肾联合移植
AC29	肾移植
AC39	胰腺移植
AG19	非同胞全相合异基因造血干细胞移植
AG29	同胞全相合异基因造血干细胞移植
AG39	自体骨髓／造血干细胞移植
AH19	ECMO或全人工心脏植入术
AH29	有创呼吸机支持≥96小时,伴CRRT
AH39	有创呼吸机支持≥96小时,不伴CRRT
BB19	神经系统复合手术
BB21	伴出血诊断的颅脑手术,伴严重合并症或并发症
BB23	伴出血诊断的颅脑手术,伴一般合并症或并发症
BB25	伴出血诊断的颅脑手术,不伴合并症或并发症
BB39	伴肿瘤诊断的颅脑手术
BB41	伴创伤诊断的颅脑手术,伴严重合并症或并发症
BB43	伴创伤诊断的颅脑手术,伴一般合并症或并发症
BB45	伴创伤诊断的颅脑手术,不伴合并症或并发症
BB51	其他颅脑相关手术,伴严重合并症或并发症
BB55	其他颅脑相关手术,不伴严重合并症或并发症
BC11	脑室分流及翻修手术,伴严重合并症或并发症
BC15	脑室分流及翻修手术,不伴严重合并症或并发症
BD13	脊柱脊髓手术,伴合并症或并发症
BD15	脊柱脊髓手术,不伴合并症或并发症
BD29	神经刺激发生器置入／置换术
BD39	中枢神经刺激器置入／置换术
BD49	周围神经刺激器置入／置换术
BE19	颈及脑血管手术
BE29	脑血管栓塞术
BE31	除外栓塞术的神经介入治疗,伴严重合并症或并发症
BE35	除外栓塞术的神经介入治疗,不伴严重合并症或并发症
BF19	神经系统的疼痛治疗
BJ13	神经系统其他手术,伴合并症或并发症
BJ15	神经系统其他手术,不伴合并症或并发症
BL11	神经系统血管病溶栓治疗,伴严重合并症或并发症
BL15	神经系统血管病溶栓治疗,不伴严重合并症或并发症
BM13	神经介入检查术,伴合并症或并发症
BM15	神经介入检查术,不伴合并症或并发症
BN11	神经系统早期康复治疗,伴严重合并症或并发症
BN15	神经系统早期康复治疗,不伴严重合并症或并发症
BP19	神经系统自身免疫性疾病的免疫治疗
BP29	其他神经系统疾病的免疫治疗
BR13	脑卒中,伴合并症或并发症
BR15	脑卒中,不伴合并症或并发症
BR29	其他脑缺血性疾病
BS11	非创伤性意识障碍,伴严重合并症或并发症
BS13	非创伤性意识障碍,伴一般合并症或并发症
BS15	非创伤性意识障碍,不伴合并症或并发症
BT11	病毒性脑、脊髓和脑膜炎,伴严重合并症或并发症
BT13	病毒性脑、脊髓和脑膜炎,伴一般合并症或并发症
BT15	病毒性脑、脊髓和脑膜炎,不伴合并症或并发症
BT21	细菌性脑、脊髓和脑膜炎,伴严重合并症或并发症
BT23	细菌性脑、脊髓和脑膜炎,伴一般合并症或并发症
BT25	细菌性脑、脊髓和脑膜炎,不伴合并症或并发症
BT33	神经系统的其他感染,伴合并症或并发症
BT35	神经系统的其他感染,不伴合并症或并发症
BT3C	神经系统的其他感染,不伴合并症或并发症,小于等于6岁
BU13	神经系统肿瘤,伴合并症或并发症
BU15	神经系统肿瘤,不伴合并症或并发症
BU23	神经系统变性疾病,伴合并症或并发症
BU25	神经系统变性疾病,不伴合并症或并发症
BU2C	神经系统变性疾病,不伴合并症或并发症,小于等于6岁
BU33	中枢神经系统脱髓鞘病,伴合并症或并发症
BU35	中枢神经系统脱髓鞘病,不伴合并症或并发症
BV11	癫痫,伴严重合并症或并发症
BV13	癫痫,伴一般合并症或并发症
BV15	癫痫,不伴合并症或并发症
BV1E	癫痫,伴严重合并症或并发症,大于等于70岁
BV1F	癫痫,伴一般合并症或并发症,大于等于70岁
BV1G	癫痫,不伴合并症或并发症,大于等于70岁
BV23	神经肌肉接头及肌肉病,伴合并症或并发症
BV25	神经肌肉接头及肌肉病,不伴合并症或并发症
BV2F	神经肌肉接头及肌肉病,伴合并症或并发症,大于等于70岁
BV2G	神经肌肉接头及肌肉病,不伴合并症或并发症,大于等于70岁
BV39	头痛
BW19	神经系统先天性疾病
BW29	脑性瘫痪
BX13	认知功能障碍,伴合并症或并发症
BX15	认知功能障碍,不伴合并症或并发症
BX1F	认知功能障碍,伴合并症或并发症,大于等于70岁
BX1G	认知功能障碍,不伴合并症或并发症,大于等于70岁
BX29	脑神经／周围神经疾病
BY11	颅脑损伤,伴严重合并症或并发症
BY13	颅脑损伤,伴一般合并症或并发症
BY15	颅脑损伤,不伴合并症或并发症
BY1G	颅脑损伤,不伴合并症或并发症,大于等于70岁
BY21	脊髓伤病及功能障碍,伴严重合并症或并发症
BY23	脊髓伤病及功能障碍,伴一般合并症或并发症
BY25	脊髓伤病及功能障碍,不伴合并症或并发症
BZ11	神经系统其他疾病,伴严重合并症或并发症
BZ13	神经系统其他疾病,伴一般合并症或并发症
BZ15	神经系统其他疾病,不伴合并症或并发症
CB19	角膜移植手术
CB29	玻璃体、视网膜、脉络膜联合晶状体手术
CB39	晶状体联合视网膜及晶状体以外的内眼手术
CB49	玻璃体视网膜脉络膜联合手术
CB59	玻璃体视网膜脉络膜其他手术
CB69	复杂白内障手术
CB79	晶状体其他手术
CB89	视网膜及晶状体以外的内眼手术
CB99	角膜、巩膜、结膜手术
CD19	眶骨骨折手术
CD29	眼眶其他手术
CD39	眼肌手术
CD49	除眼眶外的外眼手术
CD4D	除眼眶外的外眼手术,小于等于6岁
CJ19	其他眼部手术
CR19	眼部恶性肿瘤及交界性肿瘤
CS19	眼外肌、眼的神经及血管疾病
CT19	前房出血及眼创伤的非手术治疗
CU19	急性重大眼感染
CV19	各种类型青光眼
CV1H	各种类型青光眼,大于等于70岁
CW19	各种类型白内障
CX19	其他疾病引起眼部病变
CZ19	其他眼部疾病
DB19	鼻颅底复杂手术
DB29	鼻颅底一般手术
DC19	口腔颌面头颈缺损游离组织瓣修复术
DC29	头颈肿瘤根治联合组织皮瓣修复
DC39	口腔颌面头颈恶性肿瘤根治术
DC49	口腔颌面头颈缺损其他组织瓣修复术
DC53	口腔颌面头颈恶性肿瘤切除术,伴合并症或并发症
DC55	口腔颌面头颈恶性肿瘤切除术,不伴合并症或并发症
DC69	口腔颌面头颈良性肿瘤切除术
DC6H	口腔颌面头颈良性肿瘤切除术,大于等于70岁
DC79	唇、腭裂修补术
DD19	人工听觉装置植入
DD29	耳颅底手术
DD39	中耳／内耳／侧颅底手术
DD49	中耳病损切除及听力重建术
DD59	咽鼓管手术
DD69	鼓膜病损切除及修补术
DE19	耳廓及外耳道畸形矫正
DE29	鳃裂畸形根治手术
DE39	耳廓及外耳道病损切除术
DE3D	耳廓及外耳道病损切除术,小于等于6岁
DE49	耳部其他小手术
DF19	鼻成形术
DF29	鼻腔、鼻窦手术
DG19	咽、喉、气管手术
DG1D	咽、喉、气管手术,小于等于6岁
DG29	扁桃体和／或腺样体切除手术
DH19	颅面骨正颌手术
DH29	颅面骨创伤手术
DH39	颞下颌关节手术
DH49	颅面骨其他手术
