A34.x00	产科破伤风
E23.000x005	产后垂体前叶功能减退危象
F53.000x001	与产褥期有关的轻度精神和行为障碍
F53.001	产褥期抑郁
F53.002	产后抑郁症
F53.100x001	与产褥期有关的重度精神和行为障碍
F53.101	产褥期精神病
F53.800	精神和行为障碍,其他与产褥期有关的不可归类在他处者
F53.900	产褥期精神障碍
M83.000	产褥期骨软化症
O00.000	腹腔妊娠
O00.001	大网膜妊娠
O00.100	输卵管妊娠
O00.101	输卵管妊娠流产
O00.102	输卵管妊娠破裂
O00.103	输卵管残端妊娠破裂
O00.104	输卵管壶腹部妊娠
O00.106	输卵管壶腹部妊娠破裂
O00.107	输卵管间质部妊娠
O00.108	输卵管间质部妊娠流产
O00.109	输卵管间质部妊娠破裂
O00.111	输卵管伞部妊娠流产
O00.112	输卵管伞端妊娠破裂
O00.113	输卵管峡部妊娠
O00.114	输卵管峡部妊娠流产
O00.115	输卵管峡部妊娠破裂
O00.117	输卵管复合妊娠
O00.200	卵巢妊娠
O00.201	卵巢妊娠破裂
O00.800x006	子宫下段妊娠
O00.801	残角子宫妊娠
O00.802	残角子宫妊娠破裂
O00.803	宫颈妊娠
O00.804	宫内外复合妊娠
O00.805	阔韧带妊娠
O00.807	子宫瘢痕处妊娠
O00.808	子宫壁妊娠
O00.809	子宫角妊娠
O00.900	异位妊娠
O00.901	持续性异位妊娠
O00.902	陈旧性异位妊娠
O01.001	完全性葡萄胎
O01.101	部分性葡萄胎
O01.102	不完全葡萄胎
O01.901	妊娠滋养细胞病
O01.902	异位葡萄胎
O03.001	不完全性自然流产并发盆腔感染
O03.100x001	不完全自然流产并发播散性血管内凝血
O03.101	不完全性自然流产并发过度出血
O03.200x001	不完全自然流产并发栓塞
O03.300	不完全性自然流产,伴有其他和未特指的并发症
O03.300x031	不完全自然流产并发休克
O03.300x041	不完全自然流产并发肾衰竭
O03.300x061	不完全自然流产并发盆腔器官损伤
O03.501	完全性自然流产并发盆腔感染
O03.502	完全性自然流产并发子宫内感染
O03.503	自然流产并发盆腔感染
O03.504	自然流产并发生殖道感染
O03.600x001	完全自然流产并发播散性血管内凝血
O03.701	完全性自然流产并发栓塞
O03.702	自然流产并发栓塞
O03.800	完全性或未特指的自然流产,伴有其他的并发症
O03.800x031	自然流产并发休克
O03.800x041	自然流产并发肾衰竭
O03.800x061	自然流产并发盆腔器官损伤
O03.801	完全性自然流产伴有并发症
O03.802	自然流产伴有并发症
O04.000x003	不完全医疗性流产并发生殖道感染
O04.001	不完全性医疗性流产并发盆腔感染
O04.100x002	不完全医疗性流产并发播散性血管内凝血
O04.101	不完全性医疗性流产并发过度出血
O04.200x001	不完全医疗性流产并发栓塞
O04.300	不完全性医疗性流产,伴有其他并发症
O04.300x031	不完全医疗性流产并发休克
O04.300x041	不完全医疗性流产并发子宫颈裂伤
O04.300x081	不完全医疗性流产并发心率缓慢
O04.400	不完全性医疗性流产,无并发症
O04.402	早期不完全性医疗性流产
O04.500x001	医疗性流产并发生殖道感染
O04.500x002	医疗性流产并发盆腔感染
O04.502	晚期医疗性流产并发盆腔感染
O04.503	早期医疗性流产并发盆腔感染
O04.601	医疗性流产并发播散性血管内凝血
O04.700x001	医疗性流产并发栓塞
O04.701	医疗性流产并发羊水栓塞
O04.800	完全性或未特指的医疗性流产,伴有其他并发症
O04.800x031	医疗性流产并发休克
O04.800x041	医疗性流产并发肾衰竭
O04.800x061	医疗性流产并发子宫颈裂伤
O05.000	不完全性流产,其他的,并发生殖道和盆腔感染
O05.100	不完全性流产,其他的,并发延迟或过度出血
O05.200	不完全性流产,其他的,并发栓塞
O05.301	其他不完全性流产伴有并发症
O05.400	不完全性流产,其他的,无并发症
O05.500	完全性流产,其他的,并发生殖道和盆腔感染
O05.700	完全性流产,其他的,并发栓塞
O05.801	其他完全性流产伴有并发症
O06.000	不完全性流产,并发生殖道和盆腔感染
O06.100	不完全性流产,并发延迟或过度出血
O06.200	不完全性流产,并发栓塞
O06.301	未特指的不完全性流产伴有并发症
O06.500	完全性流产,并发生殖道和盆腔感染
O06.600	完全性流产,并发延迟或过度出血
O06.700	完全性流产,并发栓塞
O06.801	未特指的流产伴有并发症
O07.000	医疗性流产失败,并发生殖道和盆腔感染
O07.000x001	医疗性流产失败并发盆腔感染
O07.000x002	医疗性流产失败并发生殖道感染
O07.100x001	医疗性流产失败并发出血
O07.200x001	医疗性流产失败并发栓塞
O07.300	医疗性流产失败,伴有其他的并发症
O07.300x001	医疗性流产失败并发代谢紊乱
O07.300x002	医疗性流产失败并发休克
O07.500	企图流产失败,其他或未特指的,并发生殖道和盆腔感染
O07.700	企图流产失败,其他的,并发栓塞
O07.800	企图流产失败,其他的,伴有其他的并发症
O07.900x001	企图流产失败
O08.000	流产、异位妊娠和葡萄胎妊娠后生殖道和盆腔感染
O08.000x006	流产后脓毒症
O08.000x007	葡萄胎妊娠后盆腔感染
O08.000x010	葡萄胎妊娠后生殖道感染
O08.000x011	流产后发热
O08.002	流产后腹膜炎
O08.004	流产后盆腔感染
O08.006	异位妊娠后盆腔感染
O08.100x004	葡萄胎妊娠后出血
O08.101	流产后播散性血管内凝血
O08.103	葡萄胎妊娠后过度出血
O08.104	异位妊娠后播散性血管内凝血
O08.105	异位妊娠后腹腔内出血
O08.106	异位妊娠后过度出血
O08.200x001	流产后栓塞
O08.200x002	异位妊娠后栓塞
O08.200x003	葡萄胎妊娠后栓塞
O08.202	流产后羊水栓塞
O08.203	流产后空气栓塞
O08.204	流产后肺栓塞
O08.300x003	流产后循环性虚脱
O08.300x004	葡萄胎妊娠后休克
O08.301	流产后休克
O08.302	异位妊娠后休克
O08.400x003	流产后肾小管坏死
O08.400x004	异位妊娠后肾衰竭
O08.400x005	葡萄胎妊娠后肾衰竭
O08.500	流产、异位妊娠和葡萄胎妊娠后的代谢疾患
O08.600x004	流产后子宫颈裂伤
O08.600x005	异位妊娠后子宫破裂
O08.600x006	流产后盆腔器官损伤
O08.601	人工流产后肠穿孔
O08.602	人工流产后子宫穿孔
O08.603	人工流产后子宫韧带血肿
O08.604	人工流产并发穹隆穿孔
O08.700	流产、异位妊娠和葡萄胎妊娠后的其他静脉并发症
O08.800x006	腹腔妊娠后胎盘残留
O08.805	流产后心脏停搏
O08.900	流产、异位妊娠和葡萄胎妊娠后的并发症
O10.001	妊娠合并原有特发性高血压
O10.101	妊娠合并原有高血压性心脏病
O10.201	妊娠合并原有高血压性肾病
O10.301	妊娠合并原有高血压性心脏病和肾病
O10.401	妊娠合并原有继发性高血压
O10.900x001	妊娠合并原有高血压
O11.x01	慢性高血压并发子痫前期
O12.200	妊娠水肿伴有蛋白尿
O13.x00	妊娠[妊娠引起的]高血压
O14.100x002	重度子痫前期
O14.200	HELLP综合征
O15.001	产前子痫
O15.101	产时子痫
O15.201	产后子痫
O15.900	子痫
O21.100	妊娠剧吐伴有代谢紊乱
O21.100x002	妊娠剧吐伴酸中毒
O21.100x003	妊娠剧吐伴脱水
O21.100x004	妊娠剧吐伴碳水化合物缺失
O21.100x005	妊娠剧吐伴电解质失衡
O21.100x006	妊娠剧吐伴酮症
O21.200	妊娠晚期呕吐
O21.800	并发于妊娠的其他呕吐
O22.300	妊娠期深静脉血栓形成
O22.500	妊娠期大脑静脉血栓形成
O22.902	妊娠期静脉血栓形成
O23.300	妊娠期泌尿道其他部位感染
O23.400	妊娠期泌尿道感染
O23.500	妊娠期生殖道感染
O23.500x001	妊娠期宫腔感染
O23.503	妊娠合并输卵管坏死
O23.901	妊娠期泌尿生殖道感染
O24.000	妊娠期伴原有的1型糖尿病
O24.000x021	妊娠合并原有1型糖尿病（胰岛素治疗）
O24.100	妊娠期伴原有的2型糖尿病
O24.100x021	妊娠合并原有2型糖尿病（胰岛素治疗）
O24.200x001	妊娠合并原有营养不良性糖尿病
O24.300x001	妊娠合并原有糖尿病
O24.301	妊娠期伴原有糖尿病性酮症
O24.400	妊娠期发生的糖尿病
O25.x00	妊娠期营养不良
O25.x01	产褥期营养不良
O26.602	妊娠合并肝功能衰竭
O26.603	妊娠合并肝损害
O26.604	妊娠合并肝硬化
O26.606	妊娠期肝内胆汁淤积症
O26.607	妊娠期急性脂肪肝
O26.608	妊娠合并自身免疫性肝炎
O26.800x013	妊娠合并慢性肾功能不全
O26.800x015	妊娠合并急性肾功能不全
O26.801	妊娠合并肾病综合征
O26.802	妊娠合并肾衰竭
O26.803	妊娠合并肾积水
O26.804	妊娠合并肾小球肾炎
O26.806	妊娠合并周围神经炎
O29.000x001	妊娠期麻醉相关的吸入性肺炎
O29.000x002	妊娠期麻醉相关的胃内容物吸入
O29.000x003	妊娠期麻醉相关的门德尔松综合征
O29.000x004	妊娠期麻醉相关的肺压迫性萎陷
O29.000x005	妊娠期麻醉相关的分泌物吸入
O29.100x001	妊娠期麻醉相关的心脏停搏
O29.100x002	妊娠期麻醉相关的心力衰竭
O29.200	妊娠期间麻醉的中枢神经系统并发症
O29.300	妊娠期间局部麻醉的中毒反应
O29.400	妊娠期间脊髓和硬膜外麻醉诱发的头痛
O29.500	妊娠期间脊髓和硬膜外麻醉的其他并发症
O29.600	妊娠期间插管失败或困难
O29.800	妊娠期间麻醉的其他并发症
O29.900	妊娠期间麻醉并发症
O30.000	双胎妊娠
O30.100	三胎妊娠
O30.200	四胎妊娠
O30.800	多胎妊娠,其他的
O30.801	五胎妊娠
O30.900	多胎妊娠
O31.100	一个或多个胎儿流产后的继续妊娠
O31.200	一个或多个胎儿宫内死亡后的继续妊娠
O31.201	双胎妊娠一胎宫内死亡
O31.800	特发于多胎妊娠的其他并发症
