AA19	心肺移植
AA29	心脏移植
AB19	肝移植
AC19	胰/肾联合移植
AD19	胰腺移植
AE19	肾移植
AF19	肺移植
AG19	非同胞全相合异基因造血干细胞移植
AG29	同胞全相合异基因造血干细胞移植
AG39	自体骨髓/造血干细胞移植
AH19	ECMO或全人工心脏植入术
AH27	有创呼吸机支持≥96小时，死亡转归
AH20	有创呼吸机支持≥96小时，年龄小于18岁
AH21	有创呼吸机支持≥96小时，伴严重并发症或合并症
AH23	有创呼吸机支持≥96小时，伴并发症或合并症
AH25	有创呼吸机支持≥96小时，不伴并发症或合并症
BB11	神经系统复合手术，伴严重并发症或合并症
BB13	神经系统复合手术，伴并发症或合并症
BB15	神经系统复合手术，不伴并发症或合并症
BB27	伴出血诊断的颅脑手术，死亡转归
BB21	伴出血诊断的颅脑手术，伴严重并发症或合并症
BB23	伴出血诊断的颅脑手术，伴并发症或合并症
BB25	伴出血诊断的颅脑手术，不伴并发症或合并症
BB31	伴肿瘤诊断的颅脑手术，伴严重并发症或合并症
BB33	伴肿瘤诊断的颅脑手术，伴并发症或合并症
BB35	伴肿瘤诊断的颅脑手术，不伴并发症或合并症
BB41	伴创伤诊断的颅脑手术，伴严重并发症或合并症
BB43	伴创伤诊断的颅脑手术，伴并发症或合并症
BB45	伴创伤诊断的颅脑手术，不伴并发症或合并症
BB51	其他颅脑相关手术，伴严重并发症或合并症
BB53	其他颅脑相关手术，伴并发症或合并症
BB55	其他颅脑相关手术，不伴并发症或合并症
BC10	脑室分流及翻修手术，年龄小于18岁
BC11	脑室分流及翻修手术，伴严重并发症或合并症
BC13	脑室分流及翻修手术，伴并发症或合并症
BC15	脑室分流及翻修手术，不伴并发症或合并症
BD10	脊柱脊髓手术，年龄小于18岁
BD1_03.1	脊柱脊髓手术，脊髓内神经根切断
BD1_03.4	脊柱脊髓手术，脊髓或脊髓膜病损的切除术或破坏术
BD1_03.6	脊柱脊髓手术，脊髓和神经根粘连的松解术
BD1_03.7	脊柱脊髓手术，脊髓膜分流术
BD1_04.2	脊柱脊髓手术，颅和周围神经的破坏术
BD1_80.5	脊柱脊髓手术，椎间盘切除术、破坏术和其他修补术
BD1_9	脊柱脊髓手术，其他
BD2_01.2	立体定向与功能性神经外科手术，颅骨切开术和颅骨切除术
BD2_02.9	立体定向与功能性神经外科手术，颅、脑和脑膜的其他手术
BD2_86.9	立体定向与功能性神经外科手术，皮肤和皮下组织的其他手术
BD2_9	立体定向与功能性神经外科手术，其他
BE10	颈及脑血管手术，年龄小于18岁
BE1_38.1	颈及脑血管手术，动脉内膜切除术
BE1_39.5	颈及脑血管手术，血管其他修补术
BE1_9	颈及脑血管手术，其他
BE27	神经介入治疗，死亡转归
BE2_00.6	神经介入治疗，血管操作
BE2_00.6_n	神经介入治疗，血管操作，使用新技术新项目
BE2_00.6_a	神经介入治疗，血管操作，颅内动脉操作
BE2_39.7	神经介入治疗，血管内操作
BE2_39.7_n	神经介入治疗，血管内操作，使用新技术新项目
BE2_9	神经介入治疗，其他
BJ10	神经系统其他手术，年龄小于18岁
BJ11	神经系统其他手术，伴严重并发症或合并症
BJ13	神经系统其他手术，伴并发症或合并症
BJ15	神经系统其他手术，不伴并发症或合并症
BL19	神经系统血管病溶栓治疗
BM19	神经介入检查术
BR1_I60.7	脑卒中，未特指颅内动脉的蛛网膜下出血
BR1_I61.0	脑卒中，大脑半球的脑内出血，皮质下
BR1_I61.1	脑卒中，大脑半球的脑内出血，皮质的
