包含以下主要诊断：
C81.000 结节性淋巴细胞为主型霍奇金淋巴瘤
C81.100 结节性硬化型（经典型）霍奇金淋巴瘤
C81.200 混合细胞型（经典型）霍奇金淋巴瘤
C81.300 淋巴细胞减少型（经典型）霍奇金淋巴瘤
C81.400 富淋巴细胞性（经典型）霍奇金淋巴瘤
C81.700 经典型霍奇金淋巴瘤，其他类型的
C81.701 霍奇金副肉芽肿
C81.702 霍奇金肉芽肿
C81.703 霍奇金肉瘤
C81.900 霍奇金淋巴瘤，未特指
C81.900x005 皮肤霍奇金淋巴瘤
C82.000 滤泡性淋巴瘤I级
C82.100 滤泡性淋巴瘤II级
C82.200 滤泡性淋巴瘤III级
C82.300 滤泡性淋巴瘤IIIa级
C82.400 滤泡性淋巴瘤IIIb级
C82.500 弥漫性滤泡中心细胞淋巴瘤
C82.600 皮肤滤泡中心细胞淋巴瘤
C82.700 滤泡性淋巴瘤，其他类型的
C82.701 恶性淋巴瘤,淋巴细胞性,高分化,结节性
C82.702 恶性淋巴瘤,淋巴细胞性,中分化,结节性
C82.703 恶性淋巴瘤,淋巴细胞性,低分化,结节性
C82.704 恶性淋巴瘤,中心母细胞性,滤泡性
C82.900 滤泡性淋巴瘤
C82.901 恶性淋巴瘤,滤泡中心性
C82.903 结节性淋巴瘤，未特指
C83.000 小B细胞淋巴瘤
C83.001 淋巴浆细胞性淋巴瘤
C83.002 结节边缘区淋巴瘤
C83.003 脾缘区淋巴瘤
C83.004 非白血病B-CLL变异
C83.100 曼特尔细胞淋巴瘤
C83.101 中心细胞性淋巴瘤
C83.102 恶性淋巴瘤性息肉病
C83.300 弥漫性大B细胞淋巴瘤
C83.300x006 原发中枢神经系统弥漫大B细胞淋巴瘤
C83.300x007 原发皮肤弥漫大B细胞淋巴瘤（腿型）
C83.300x008 老年人EBV阳性弥漫大B细胞淋巴瘤
C83.300x009 与慢性炎症相关弥漫大B细胞淋巴瘤
C83.301 间变型弥漫大B细胞淋巴瘤
C83.302 中心母细胞型弥漫大B细胞淋巴瘤
C83.303 浆母细胞性弥漫大B细胞淋巴瘤
C83.304 免疫母细胞型弥漫大B细胞淋巴瘤
C83.305 未特指亚型的弥漫大B细胞淋巴瘤
C83.306 富T细胞弥漫大B细胞淋巴瘤
C83.307 CD30阳性弥漫大B细胞淋巴瘤
C83.500 原淋巴细胞（弥漫性）淋巴瘤
C83.501 前体B细胞淋巴瘤
C83.502 B淋巴母细胞性淋巴瘤
C83.503 淋巴母细胞性淋巴瘤NOS
C83.504 T淋巴母细胞性淋巴瘤
C83.505 前体T细胞淋巴瘤
C83.700 伯基特淋巴瘤
C83.702 伯基特样淋巴瘤
C83.703 非典型伯基特淋巴瘤
C83.800 其他非滤泡性淋巴瘤
C83.800x006 脾红髓弥漫小B细胞淋巴瘤
C83.800x008 恶性淋巴瘤,淋巴浆细胞性
C83.800x009 起源于HHV8相关多中心性Castleman病的大B细胞淋巴瘤
C83.801 原发渗出性淋巴瘤
C83.802 血管内大B细胞淋巴瘤
C83.803 淋巴样肉芽肿病
C83.900 非滤泡（弥漫性）淋巴瘤，未特指
C84.000 蕈样真菌病
C84.000x002 原发性皮肤T细胞淋巴瘤[蕈样肉芽肿]
C84.000x003 嗜毛囊性蕈样肉芽肿
C84.100 塞扎里病
C84.400 周围T细胞淋巴瘤，不可分类在他处
C84.400x001 成熟T细胞淋巴瘤
C84.401 血管免疫母细胞性T-细胞淋巴瘤
C84.402 外周T-细胞淋巴瘤，多形性小细胞
C84.403 外周T-细胞淋巴瘤，多形性中等细胞和大细胞
C84.404 间变大细胞T-细胞淋巴瘤,ALK阴性
C84.405 外周T-细胞淋巴瘤,AILD
C84.406 Lennert淋巴瘤
C84.407 淋巴上皮样淋巴瘤
C84.500 其他成熟的T/NK细胞淋巴瘤
C84.500x004 儿童系统性EBV阳性T细胞增殖性疾病
C84.500x012 原发皮肤外周T细胞淋巴瘤（罕见类型）
C84.500x016 原发皮肤CD4+小/中多形性T细胞淋巴瘤
C84.502 皮肤淋巴瘤
C84.600 间变性大细胞淋巴瘤，ALK阳性
C84.601 间变性大细胞淋巴瘤，CD30阳性
C84.700 间变性大细胞淋巴瘤，ALK阴性
C84.800 皮肤T细胞淋巴瘤，未特指
C84.900 成熟T/NK细胞淋巴瘤，未特指
C84.901 T/NK细胞淋巴瘤，未特指
C85.100 B-细胞淋巴瘤
C85.100x010 富T细胞/富组织细胞大B细胞淋巴瘤
C85.100x017 ALK+大B细胞淋巴瘤
C85.100x021 原发皮肤B细胞淋巴瘤
C85.200 纵膈（胸腺）大B细胞淋巴瘤
C85.700 非霍奇金淋巴瘤的其他特指类型
C85.700x004 慢性NK细胞淋巴增殖性疾病
C85.700x016 皮下NK细胞淋巴瘤
C85.701 单核细胞样B细胞淋巴瘤
C85.704 血管中心性T-细胞淋巴瘤
C85.705 大细胞（ki-1+）淋巴瘤
C85.707 NK/T-细胞淋巴瘤
C85.709 间变大细胞淋巴瘤
C85.715 血管内皮瘤病
C85.900 非霍奇金淋巴瘤
C85.900x001 鼻窦淋巴瘤
C85.900x002 鼻腔淋巴瘤
C85.900x003 扁桃体淋巴瘤
C85.900x004 肠淋巴瘤
C85.900x005 肠系膜淋巴瘤
C85.900x006 淋巴瘤
C85.900x008 肺淋巴瘤
C85.900x009 腹膜后淋巴瘤
C85.900x010 腹腔淋巴瘤
C85.900x011 肝淋巴瘤
C85.900x012 睾丸淋巴瘤
C85.900x013 纵隔淋巴瘤
C85.900x014 回盲部淋巴瘤
C85.900x015 结肠淋巴瘤
C85.900x016 卵巢淋巴瘤
C85.900x017 盲肠淋巴瘤
C85.900x019 脑淋巴瘤
C85.900x020 脾淋巴瘤
C85.900x022 舌淋巴瘤
C85.900x023 胃淋巴瘤
C85.900x024 小肠淋巴瘤
C85.900x025 眼淋巴瘤
C85.900x026 硬膜外淋巴瘤
C85.900x027 肢体淋巴瘤
C85.900x028 直肠淋巴瘤
C85.900x029 骨淋巴瘤
C85.900x030 腹股沟淋巴瘤
C85.900x031 乳腺淋巴瘤
C85.900x034 周围神经血管内淋巴瘤
C85.900x036 甲状腺淋巴瘤
C85.900x037 脊髓淋巴瘤
C85.900x038 淋巴瘤结内侵及
C85.900x039 淋巴瘤结外侵及
C85.900x040 颈淋巴瘤
C85.900x041 心脏淋巴瘤
C85.900x042 胰腺淋巴瘤
C85.900x043 肾淋巴瘤
C85.901 复合性霍奇金和非霍奇金淋巴瘤
C86.000 结外NK/T细胞淋巴瘤，鼻型
C86.100 肝脾T细胞淋巴瘤
C86.200 肠型T细胞淋巴瘤
C86.300 皮下血管炎样T细胞淋巴瘤
C86.400 原始NK细胞淋巴瘤
C86.500 血管免疫母细胞性T细胞淋巴瘤
C86.600 原发性皮肤CD30阳性T细胞增殖性病变
C86.601 淋巴瘤样丘疹病
C86.602 原发性皮肤间变性大细胞淋巴瘤
C86.603 原发性皮肤CD30+间变性大细胞淋巴瘤
C88.000 瓦尔登斯特伦巨球蛋白血症
C88.000x002 高粘滞综合征
C88.000x011 巨球蛋白血症伴缓解
C88.000x012 高粘滞综合征伴缓解
C88.200 其他重链病
C88.200x011 γ重链病伴缓解
C88.200x012 富兰克林病伴缓解
C88.201 富兰克林病
C88.202 γ重链病
C88.203 Mµ重链病
C88.300 免疫增生性小肠病
C88.301 地中海淋巴瘤
C88.302 α重链病
C88.400 MALT-淋巴瘤
C88.401 与黏膜有关的淋巴样组织淋巴瘤
C88.402 与支气管有关的淋巴样组织淋巴瘤
C88.403 与皮肤有关的淋巴样组织淋巴瘤
C88.700 恶性免疫增生性疾病，其他的
C88.700x002 重链病
C88.700x003 μ重链病
C88.700x012 重链病伴缓解
C88.700x013 μ重链病伴缓解
C88.701 血管中心性免疫增生性病变，恶性
C88.900 恶性免疫增生性疾病
C88.900x001 原发性免疫疾病相关性淋巴增殖性疾病
